State,Name, Org,Mode,Vehicles Operated in Maximum Service,,Vehicles Available for Maximum Service,,Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Actual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Annual Unlinked Passenger Trips,,Annual Passenger Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,Municipality of Anchorage,0012-B,DRp,29,,35,,0.0 ,,"1,001.0 ",,893.4 ,,65.6 ,,58.0 ,,173.0 ,,"1,200.4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,39,,50,,"1,755.2 ",,"1,963.5 ",,"1,755.2 ",,127.7 ,,118.9 ,,"3,357.0 ",,"15,291.4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,VPp,17,,22,,0.0 ,,372.2 ,,372.2 ,,9.0 ,,9.0 ,,61.1 ,,"2,791.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,85,,107,,"1,755.2 ",,"3,336.7 ",,"3,020.7 ",,202.3 ,,185.9 ,,"3,591.0 ",,"19,283.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Autauga County Commission,4099-A,DR,10,,11,,0.0 ,,220.1 ,,211.0 ,,12.4 ,,12.1 ,,44.3 ,,386.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Birmingham-Jefferson TA,4042-B,DRp,18,,18,,0.0 ,,609.8 ,,524.4 ,,40.3 ,,34.7 ,,111.1 ,,"1,233.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,64,,75,,"2,025.6 ",,"2,048.7 ",,"1,713.0 ",,152.3 ,,139.9 ,,"2,640.5 ",,"13,076.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,82,,93,,"2,025.6 ",,"2,658.5 ",,"2,237.4 ",,192.6 ,,174.6 ,,"2,751.6 ",,"14,310.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Huntsville DOT,4071-B,DR,11,,14,,0.0 ,,303.7 ,Q,256.8 ,,24.1 ,,22.3 ,,91.4 ,,738.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DRp,19,,20,,0.0 ,,96.8 ,Q,73.3 ,Q,45.1 ,Q,43.8 ,Q,136.2 ,,609.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,11,,15,,573.2 ,,594.2 ,Q,573.2 ,,35.4 ,,33.9 ,,288.4 ,,"1,332.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,41,,49,,573.2 ,,994.7 ,,903.3 ,,104.6 ,,100.0 ,,515.9 ,,"2,680.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Lee-Russell Council Govts,4073-B,DRp,6,,6,,0.0 ,,104.0 ,,51.3 ,,5.1 ,,2.6 ,,8.2 ,,51.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,14,,14,,201.7 ,,252.5 ,,201.7 ,,15.6 ,,12.2 ,,73.2 ,,252.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,20,,20,,201.7 ,,356.5 ,,253.0 ,,20.7 ,,14.8 ,,81.3 ,,303.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Mobile Transit Authority,4043-B,DRp,9,Q,9,,0.0 ,,348.8 ,,304.3 ,Q,26.1 ,,22.4 ,,31.3 ,Q,253.3 ,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,25,,31,,"1,316.7 ",,"1,381.3 ",,"1,272.7 ",,89.7 ,,85.5 ,,"1,219.2 ",,"6,645.4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,VP,4,,5,,0.0 ,,58.7 ,,58.4 ,,2.8 ,,2.6 ,,8.4 ,,156.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,38,,45,,"1,316.7 ",,"1,788.8 ",,"1,635.4 ",,118.6 ,,110.4 ,,"1,258.9 ",,"7,054.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
