State,Name,,ID,Mode,Vehicles Operated in Maximum Service,,Vehicles Available for Maximum Service,,Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Actual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Annual Unlinked Passenger Trips,,Annual Passenger Miles,
AK,Alaska Railroad Corp.,,0041-A,AR,39,,43,,101.3 ,,99.5 ,,99.5 ,,4.9 ,,4.9 ,,84.6 ,,"1,943.1 ",
AK,Municipality of Anchorage,,0012-B,DRp,32,,43,,0.0 ,,"1,095.2 ",,966.5 ,,76.1 ,,66.1 ,,180.7 ,,"1,237.2 ",
,,,,MB,40,,50,,"1,838.5 ",,"2,042.8 ",,"1,838.5 ",,134.2 ,,124.4 ,,"3,339.9 ",,"14,983.9 ",
,,,,VPp,18,,22,,0.0 ,,469.4 ,,469.4 ,,9.9 ,,9.9 ,,73.3 ,,"3,366.5 ",
,,,,Total,90,,115,,"1,838.5 ",,"3,607.3 ",,"3,274.4 ",,220.1 ,,200.4 ,,"3,593.9 ",,"19,587.6 ",
AL,Autauga County Commission,,4099-A,DR,12,,12,,0.0 ,,247.0 ,,239.5 ,,13.8 ,,13.5 ,,49.3 ,,534.5 ,
AL,Birmingham-Jefferson TA,,4042-B,DRp,18,,20,,0.0 ,,722.1 ,,597.5 ,,48.8 ,,42.2 ,,113.0 ,,507.3 ,
,,,,MBp,73,,76,,"2,100.5 ",,"2,104.3 ",,"1,846.8 ",,158.4 ,,142.6 ,,"2,662.0 ",,"12,975.7 ",
,,,,Total,91,,96,,"2,100.5 ",,"2,826.4 ",,"2,444.3 ",,207.2 ,,184.8 ,,"2,774.9 ",,"13,483.0 ",
AL,Huntsville DOT,,4071-B,DR,13,,17,,0.0 ,,417.3 ,,357.8 ,,25.3 ,,23.4 ,,93.0 ,,684.4 ,
,,,,DRp,8,,12,,0.0 ,,132.0 ,,104.3 ,,31.3 ,,26.9 ,,134.5 ,,636.9 ,
,,,,MB,11,,13,,575.9 ,,597.4 ,,575.9 ,,35.5 ,,34.0 ,,276.4 ,,"1,452.7 ",
,,,,Total,32,,42,,575.9 ,,"1,146.7 ",,"1,038.1 ",,92.2 ,,84.3 ,,503.9 ,,"2,774.0 ",
AL,Lee-Russell Council Govts,,4073-B,DRp,16,,16,,0.0 ,,218.8 ,,148.4 ,,11.0 ,,7.9 ,,38.3 ,,148.4 ,
,,,,MBp,5,,5,,89.0 ,,96.6 ,,89.0 ,,6.1 ,Q,5.6 ,,42.3 ,,89.0 ,
,,,,Total,21,,21,,89.0 ,,315.4 ,,237.4 ,,17.1 ,,13.5 ,,80.6 ,,237.4 ,
AL,Mobile Transit Authority,,4043-B,DRp,9,,9,,0.0 ,,423.0 ,Q,401.0 ,Q,31.6 ,Q,23.0 ,Q,31.7 ,,256.1 ,
,,,,MB,25,,32,,"1,334.1 ",,"1,379.1 ",,"1,282.1 ",,94.9 ,,90.0 ,,"1,197.6 ",,"6,646.4 ",
,,,,VP,4,,5,,0.0 ,,58.9 ,Q,58.1 ,Q,3.1 ,Q,2.8 ,Q,8.2 ,,153.5 ,
,,,,Total,38,,46,,"1,334.1 ",,"1,861.0 ",,"1,741.3 ",,129.6 ,,115.8 ,,"1,237.4 ",,"7,055.9 ",
AL,Montgomery DemandResponse,,4044-A,DR,18,,30,,0.0 ,,588.3 ,,530.2 ,,39.0 ,,33.7 ,,195.9 ,,"1,467.6 ",
,,,,MB,14,,24,,483.2 ,,482.9 ,,476.0 ,,33.6 ,,33.1 ,,260.2 ,,706.0 ,
,,,,Total,32,,54,,483.2 ,,"1,071.2 ",,"1,006.2 ",,72.6 ,,66.8 ,,456.1 ,,"2,173.6 ",
AL,NW AL Council Lcl Govts,,4068-A,DR,58,,58,,0.0 ,,526.4 ,,462.5 ,,48.7 ,,43.6 ,,227.9 ,,"1,982.1 ",
AL,Tuscaloosa Cnty Pkg & TA,,4045-A,DR,5,,8,,0.0 ,,152.1 ,,134.7 ,,10.5 ,,9.7 ,,19.2 ,,80.9 ,
,,,,MB,9,,13,,280.6 ,,308.7 ,,280.3 ,,35.3 ,,32.1 ,,171.2 ,,"1,212.3 ",
,,,,Total,14,,21,,280.6 ,,460.9 ,,415.0 ,,45.8 ,,41.8 ,,190.3 ,,"1,293.2 ",
AL,Wiregrass Transit Auth,,4103-A,DR,14,,20,,0.0 ,,626.4 ,,443.9 ,,39.3 ,,18.7 ,,154.0 ,,443.9 ,
AR,Central AR Transit Auth,,6033-A,DR,14,,15,,0.0 ,,483.6 ,,421.5 ,,27.9 ,,22.3 ,,36.4 ,,346.5 ,
,,,,MB,49,,65,,"2,651.7 ",,"2,844.6 ",,"2,651.7 ",,195.6 ,,185.4 ,,"3,726.4 ",,"15,206.7 ",
,,,,Total,63,,80,,"2,651.7 ",,"3,328.2 ",,"3,073.2 ",,223.4 ,,207.7 ,,"3,762.7 ",,"15,553.2 ",
AR,Community Resource Group,,6072-G,DR,24,,24,,0.0 ,,724.1 ,,634.9 ,,42.7 ,,39.7 ,,139.5 ,,"1,851.2 ",
AR,University of Arkansas,,6062-A,DR,3,,4,,0.0 ,,45.1 ,,29.9 ,,4.7 ,,3.7 ,,7.7 ,,13.8 ,
,,,,MB,12,,19,,226.1 ,,226.1 ,,203.3 ,,19.9 ,,19.1 ,,"1,184.6 ",,"2,132.2 ",
,,,,Total,15,,23,,226.1 ,,271.3 ,,233.1 ,,24.6 ,,22.8 ,,"1,192.2 ",,"2,146.0 ",
