State,Name,ID,Org / Type,Mode,TOS, VOMS,Service Supplied (in 000's),,,,,,Unlinked Passenger Trips,
AK,Alaska Railroad Corporation (ARRC),,,,,,,,,,,,,
,,0041,A,AR,DO,33,92,99.5 ,97.1 ,97.1 ,4.7 ,4.7 ,84.7 ,"1,849.6 "
AK,Municipality of Anchorage - Public Transportation Department (People Mover),,,,,,,,,,,,,
,,0012,B,DR,PT,32,44,0.0 ,"1,159.5 ","1,024.0 ",78.6 ,68.3 ,192.9 ,"1,278.8 "
,,0012,B,MB,DO,40,50,"1,847.5 ","2,021.3 ","1,843.2 ",136.8 ,128.4 ,"3,120.6 ","13,915.3 "
,,0012,B,VP,PT,18,21,0.0 ,467.2 ,467.2 ,9.9 ,9.9 ,68.6 ,"3,100.2 "
,,,Total,,,90,115,"1,847.5 ","3,648.0 ","3,334.4 ",225.3 ,206.6 ,"3,382.0 ","18,294.3 "
AL,Autauga County Commission,,,,,,,,,,,,,
,,4099,A,DR,DO,12,12,0.0 ,248.3 ,240.8 ,13.0 ,12.8 ,50.5 ,553.0 
AL,Birmingham-Jefferson County Transit Authority (MAX),,,,,,,,,,,,,
,,4042,B,DR,PT,22,22,0.0 ,886.5 ,840.4 ,52.9 ,50.5 ,112.9 ,532.7 
,,4042,B,MB,PT,80,81,"2,107.4 ","2,214.9 ","2,107.5 ",179.0 ,172.6 ,"2,878.5 ","14,273.2 "
,,,Total,,,102,103,"2,107.4 ","3,101.4 ","2,947.9 ",231.8 ,223.2 ,"2,991.4 ","14,805.9 "
AL,"City of Huntsville, Alabama - Public Transportation Division",,,,,,,,,,,,,
,,4071,A,DR,DO,13,17,0.0 ,416.6 ,356.3 ,25.3 ,23.4 ,87.4 ,641.1 
,,4071,A,DR,PT,7,10,0.0 ,61.7 ,48.4 ,17.5 ,15.6 ,64.2 ,232.8 
,,4071,A,MB,DO,11,16,573.5 ,605.7 ,573.5 ,35.8 ,33.7 ,267.7 ,"1,393.6 "
,,,Total,,,31,43,573.5 ,"1,084.0 ",978.2 ,78.6 ,72.7 ,419.3 ,"2,267.5 "
AL,Lee-Russell Council of Governments (LRCOG),,,,,,,,,,,,,
,,4073,B,DR,PT,24,21,0.0 ,235.9 ,160.5 ,12.3 ,8.3 ,38.3 ,160.5 
,,4073,B,MB,PT,5,5,88.1 ,93.0 ,88.1 ,5.6 ,5.4 ,41.4 ,88.1 
,,,Total,,,29,26,88.1 ,328.9 ,248.6 ,17.9 ,13.7 ,79.7 ,248.6 
AL,Metro Transit (MTS),,,,,,,,,,,,,
,,4043,B,DR,PT,9,0,0.0 ,423.0 ,401.0 ,31.6 ,23.0 ,31.7 ,256.1 
,,4043,B,MB,DO,29,27,"1,316.7 ","1,379.1 ","1,282.1 ",94.9 ,90.0 ,"1,197.6 ","6,646.4 "
,,,Total,,,38,27,"1,316.7 ","1,802.1 ","1,683.2 ",126.5 ,113.0 ,"1,229.3 ","6,902.4 "
AL,Montgomery Area Transit System (MATS),,,,,,,,,,,,,
,,4044,A,DR,DO,17,29,0.0 ,520.6 ,486.1 ,33.3 ,31.7 ,86.9 ,619.3 
,,4044,A,MB,DO,15,25,634.2 ,633.9 ,630.3 ,42.8 ,42.6 ,339.2 ,"1,873.3 "
,,,Total,,,32,54,634.2 ,"1,154.5 ","1,116.4 ",76.1 ,74.3 ,426.1 ,"2,492.5 "
AL,Northwest Alabama Council of Local Governments (NACOLG),,,,,,,,,,,,,
,,4068,A,DR,DO,58,58,0.0 ,581.1 ,552.7 ,50.8 ,45.5 ,204.2 ,"1,776.5 "
AL,Wiregrass Transit Authority,,,,,,,,,,,,,
