State,Name,ID,,Mode,,, Vehicles Available for Maximum Service,Annual Scheduled Vehicle Revenue Miles,Annual Vehicle Miles, Annual Vehicle Revenue Miles,Annual Vehicle Hours,Annual Vehicle Revenue Hours,Unlinked Passenger Trips,Passenger Miles
AK,Alaska Railroad Corporation (ARRC),,,,,,,,,,,,,
,,0041,A,AR,DO,38,92,98.8 ,101.7 ,101.7 ,5.0 ,5.0 ,88.9 ,"1,887.3 "
AK,Municipality of Anchorage - Public Transportation Department (People Mover),,,,,,,,,,,,,
,,0012,B,DR,PT,29,46,0.0 ,"1,211.9 ","1,081.9 ",79.0 ,70.1 ,196.0 ,"1,254.5 "
,,0012,B,MB,DO,43,50,"1,924.3 ","2,108.3 ","1,923.2 ",143.4 ,134.6 ,"3,339.5 ","14,796.0 "
,,0012,B,VP,PT,18,27,0.0 ,531.9 ,531.9 ,14.2 ,14.2 ,83.6 ,"3,776.2 "
,,,Total,,,90,123,"1,924.3 ","3,852.1 ","3,537.0 ",236.6 ,219.0 ,"3,619.1 ","19,826.8 "
AL,Autauga County Commission,,,,,,,,,,,,,
,,4099,A,DR,DO,12,12,0.0 ,274.5 ,267.0 ,14.5 ,14.3 ,58.3 ,655.5 
AL,Birmingham-Jefferson County Transit Authority (MAX),,,,,,,,,,,,,
,,4042,B,DR,PT,18,22,0.0 ,862.4 ,659.4 ,51.7 ,42.3 ,125.3 ,516.7 
,,4042,B,MB,PT,72,87,"2,887.7 ","3,123.6 ","2,887.1 ",235.9 ,222.2 ,"3,630.6 ","17,793.1 "
,,,Total,,,90,109,"2,887.7 ","3,986.0 ","3,546.5 ",287.6 ,264.5 ,"3,755.9 ","18,309.8 "
AL,"City of Huntsville, Alabama - Public Transportation Division",,,,,,,,,,,,,
,,4071,A,DR,DO,14,18,0.0 ,454.4 ,413.0 ,33.8 ,32.0 ,83.9 ,505.5 
,,4071,A,DR,PT,6,9,0.0 ,56.4 ,44.5 ,12.9 ,11.4 ,59.7 ,221.3 
,,4071,A,MB,DO,11,15,571.8 ,599.3 ,555.7 ,35.7 ,33.6 ,270.6 ,"1,400.0 "
,,,Total,,,31,42,571.8 ,"1,110.0 ","1,013.2 ",82.3 ,77.1 ,414.3 ,"2,126.8 "
AL,Lee-Russell Council of Governments (LRCOG),,,,,,,,,,,,,
,,4073,B,DR,PT,20,20,0.0 ,313.0 ,181.6 ,13.0 ,8.7 ,44.1 ,181.6 
,,4073,B,MB,PT,10,10,121.9 ,229.3 ,121.9 ,8.9 ,8.5 ,42.7 ,121.9 
,,,Total,,,30,30,121.9 ,542.2 ,303.5 ,21.9 ,17.2 ,86.8 ,303.5 
AL,Metro Transit (MTS),,,,,,,,,,,,,
,,4043,B,DR,DO,7,7,0.0 ,137.2 ,125.5 ,11.6 ,10.4 ,15.8 ,102.8 
,,4043,B,DR,PT,11,11,0.0 ,469.1 ,447.1 ,34.8 ,26.1 ,34.5 ,219.9 
,,4043,B,MB,DO,31,31,"1,387.0 ","1,483.3 ","1,387.0 ",98.8 ,95.3 ,"1,130.4 ","6,895.2 "
,,,Total,,,49,49,"1,387.0 ","2,089.7 ","1,959.6 ",145.2 ,131.9 ,"1,180.7 ","7,217.9 "
AL,Montgomery Area Transit System (MATS),,,,,,,,,,,,,
,,4044,A,DR,DO,17,20,0.0 ,496.9 ,461.8 ,31.5 ,30.0 ,75.0 ,548.9 
,,4044,A,MB,DO,15,35,661.0 ,659.0 ,655.3 ,43.4 ,43.1 ,377.4 ,"1,559.5 "
,,,Total,,,32,55,661.0 ,"1,155.9 ","1,117.2 ",74.9 ,73.1 ,452.4 ,"2,108.3 "
AL,Morgan County Area Transportation System (MCATS),,,,,,,,,,,,,
,,4111,A,DR,DO,31,31,0.0 ,515.5 ,445.1 ,52.0 ,48.0 ,172.9 ,445.1 
AL,Northwest Alabama Council of Local Governments (NACOLG),,,,,,,,,,,,,
,,4068,A,DR,DO,54,54,0.0 ,565.8 ,537.6 ,42.5 ,38.4 ,207.4 ,725.8 
AL,Tuscaloosa County Parking and Transit Authority (TMT),,,,,,,,,,,,,
,,4045,A,DR,DO,5,5,0.0 ,131.2 ,116.0 ,10.7 ,10.0 ,18.7 ,86.9 
,,4045,A,MB,DO,9,9,229.7 ,257.8 ,229.1 ,37.3 ,34.3 ,155.1 ,"1,085.1 "
,,,Total,,,14,14,229.7 ,389.1 ,345.1 ,48.0 ,44.3 ,173.8 ,"1,172.0 "
AL,Wiregrass Transit Authority,,,,,,,,,,,,,
,,4103,A,DR,DO,15,19,0.0 ,609.7 ,400.8 ,42.4 ,21.8 ,140.7 ,400.8 
AR,Central Arkansas Transit Authority (CATA),,,,,,,,,,,,,
,,6033,A,DR,DO,15,16,0.0 ,549.9 ,475.4 ,35.1 ,25.8 ,55.5 ,456.7 
,,6033,A,MB,DO,45,69,"2,236.3 ","2,363.8 ","2,233.8 ",162.0 ,156.5 ,"3,100.5 ","11,550.2 "
,,,Total,,,60,85,"2,236.3 ","2,913.7 ","2,709.2 ",197.0 ,182.3 ,"3,155.9 ","12,006.9 "
AR,Fort Smith Transit (FST),,,,,,,,,,,,,
,,6086,A,DR,DO,4,5,0.0 ,190.8 ,176.5 ,12.4 ,11.5 ,58.2 ,83.6 
,,6086,A,MB,DO,10,13,305.0 ,343.5 ,322.1 ,25.6 ,24.3 ,132.1 ,707.9 
,,,Total,,,14,18,305.0 ,534.3 ,498.6 ,37.9 ,35.7 ,190.2 ,791.5 
AR,Ozark Regional Transit (ORT),,,,,,,,,,,,,
,,6072,A,DR,DO,26,26,0.0 ,645.0 ,600.0 ,45.0 ,43.0 ,120.0 ,"1,550.0 "
,,6072,A,MB,DO,2,4,117.8 ,127.2 ,114.0 ,8.8 ,8.0 ,35.8 ,181.5 
,,,Total,,,28,30,117.8 ,772.2 ,714.0 ,53.8 ,51.0 ,155.8 ,"1,731.5 "
AR,"University of Arkansas, Fayetteville (Razorback Transit)",,,,,,,,,,,,,
,,6062,A,DR,DO,3,4,0.0 ,29.3 ,21.0 ,5.3 ,4.6 ,4.7 ,11.2 
,,6062,A,MB,DO,12,19,208.2 ,208.2 ,197.5 ,22.1 ,21.3 ,"1,194.4 ","1,433.3 "
,,,Total,,,15,23,208.2 ,237.5 ,218.4 ,27.4 ,25.8 ,"1,199.1 ","1,444.6 "
AZ,City of Glendale Transit,,,,,,,,,,,,,
,,9034,B,DR,DO,13,18,0.0 ,403.7 ,376.5 ,28.5 ,25.8 ,81.8 ,441.5 
,,9034,B,MB,DO,3,8,177.7 ,178.8 ,177.0 ,11.3 ,11.0 ,106.4 ,425.6 
,,,Total,,,16,26,177.7 ,582.5 ,553.5 ,39.8 ,36.8 ,188.2 ,867.2 
AZ,City of Mesa,,,,,,,,,,,,,
,,9129,B,MB,PT,28,49,"1,497.3 ","1,754.9 ","1,497.3 ",132.1 ,118.2 ,"1,746.1 ","4,019.9 "
AZ,City of Phoenix Public Transit Department (Valley Metro),,,,,,,,,,,,,
,,9032,B,DR,PT,160,182,0.0 ,"5,050.8 ","4,234.5 ",371.6 ,303.1 ,468.2 ,"3,706.4 "
,,9032,B,MB,PT,394,470,"17,058.2 ","20,201.5 ","17,083.6 ","1,460.9 ","1,128.7 ","40,635.5 ","150,452.1 "
,,,Total,,,554,652,"17,058.2 ","25,252.4 ","21,318.1 ","1,832.6 ","1,431.8 ","41,103.7 ","154,158.5 "
AZ,City of Tempe Transportation Planning and Transit Division (TIM - Tempe in Motion),,,,,,,,,,,,,
,,9172,B,MB,PT,78,110,"4,263.2 ","4,834.5 ","4,256.1 ",389.4 ,350.3 ,"6,337.5 ","19,153.4 "
AZ,City of Tucson (COT),,,,,,,,,,,,,
,,9033,A,DR,DO,57,72,0.0 ,"2,201.7 ","1,858.8 ",179.2 ,155.6 ,289.7 ,"2,417.3 "
,,9033,A,MB,DO,147,189,"6,950.8 ","7,815.0 ","6,947.3 ",567.4 ,532.7 ,"16,582.7 ","60,024.4 "
,,,Total,,,204,261,"6,950.8 ","10,016.7 ","8,806.0 ",746.7 ,688.4 ,"16,872.4 ","62,441.7 "
AZ,Coconino County Transportation Services,,,,,,,,,,,,,
,,9180,A,DR,DO,5,9,0.0 ,162.0 ,132.2 ,12.6 ,10.8 ,29.3 ,0.0 
,,9180,A,MB,DO,7,12,267.2 ,283.3 ,267.2 ,18.8 ,18.1 ,294.6 ,0.0 
,,,Total,,,12,21,267.2 ,445.3 ,399.4 ,31.4 ,28.8 ,323.9 ,0.0 
AZ,Maricopa County Special Transportation Services,,,,,,,,,,,,,
,,9132,B,DR,PT,31,54,0.0 ,839.9 ,732.4 ,81.2 ,71.6 ,117.2 ,588.4 
AZ,Peoria Transit,,,,,,,,,,,,,
,,9140,A,DR,DO,7,9,0.0 ,173.1 ,158.3 ,10.1 ,9.1 ,32.3 ,184.5 
AZ,"Phoenix - VPSI, Incorporated",,,,,,,,,,,,,
,,9169,E,VP,DO,215,224,0.0 ,"3,688.9 ","3,688.9 ",90.3 ,90.3 ,713.6 ,"19,608.1 "
AZ,"Regional Public Transportation Authority, dba: Valley Metro (RPTA)",,,,,,,,,,,,,
,,9136,B,DR,PT,52,67,0.0 ,"1,573.1 ","1,139.0 ",147.4 ,118.6 ,237.7 ,"1,422.1 "
,,9136,B,MB,PT,63,80,"3,530.1 ","4,553.9 ","3,530.1 ",350.0 ,253.6 ,"3,894.4 ","16,122.6 "
,,,Total,,,115,147,"3,530.1 ","6,127.0 ","4,669.2 ",497.3 ,372.2 ,"4,132.0 ","17,544.8 "
AZ,"Sun Cities Area Transit System, Inc. (SCAT)",,,,,,,,,,,,,
,,9135,D,DR,DO,14,14,0.0 ,241.0 ,226.2 ,20.3 ,19.4 ,60.3 ,225.0 
AZ,Surprise Dial-A-Ride Transit System,,,,,,,,,,,,,
,,9137,A,DR,DO,3,3,0.0 ,56.4 ,53.3 ,5.0 ,3.8 ,7.1 ,42.1 
