State,Name,ID,Org Type,Mode,TOS, VOMS,Service Supplied (in Thousands),,,,,,,,,,,,Unlinked Passenger Trips,,,
AK,Alaska Railroad Corporation (ARRC),,,,,,,,,,,,,,,,,,,,,
,,0041,A,AR,DO,41,97,,100.4 ,,101.0 ,,101.0 ,,4.9 ,,4.9 ,,96.5 ,,"2,069.5 ",
AK,Fairbanks North Star Borough Transit (MACS),,,,,,,,,,,,,,,,,,,,,
,,0045,A,DR,DO,4,5,,0.0 ,,169.2 ,,122.3 ,,13.6 ,,10.0 ,,21.6 ,,92.5 ,
,,0045,A,MB,DO,7,8,,312.0 ,,328.5 ,,312.0 ,,20.9 ,,18.2 ,,371.9 ,,"1,829.3 ",
,,,,Total,,11,13,,312.0 ,,497.8 ,,434.3 ,,34.5 ,,28.2 ,,393.5 ,,"1,921.8 ",
AK,Municipality of Anchorage - Public Transportation Department (People Mover),,,,,,,,,,,,,,,,,,,,,
,,0012,B,DR,PT,29,46,,0.0 ,,"1,262.4 ",,"1,122.9 ",,77.5 ,,68.5 ,,190.9 ,,"1,402.9 ",
,,0012,B,MB,DO,46,55,,"2,101.4 ",,"2,307.4 ",,"2,100.4 ",,156.0 ,,146.2 ,,"3,536.1 ",,"16,408.7 ",
,,0012,B,VP,PT,19,27,,0.0 ,,610.5 ,,610.5 ,,15.3 ,,15.3 ,,88.1 ,,"3,963.4 ",
,,,,Total,,94,128,,"2,101.4 ",,"4,180.3 ",,"3,833.8 ",,248.8 ,,230.1 ,,"3,815.0 ",,"21,775.1 ",
AL,Autauga County Commission,,,,,,,,,,,,,,,,,,,,,
,,4099,A,DR,DO,11,11,,0.0 ,,307.8 ,,301.6 ,,15.1 ,,14.9 ,,62.2 ,,656.7 ,
AL,Birmingham-Jefferson County Transit Authority (MAX),,,,,,,,,,,,,,,,,,,,,
,,4042,B,DR,DO,18,22,,0.0 ,,739.4 ,,667.9 ,,43.4 ,,40.9 ,,109.9 ,,854.8 ,Q
,,4042,B,DR,PT,5,5,,0.0 ,,257.9 ,,199.3 ,,16.3 ,,13.1 ,,36.9 ,,160.9 ,
,,4042,B,MB,DO,72,89,,"3,077.8 ",,"3,327.6 ",,"3,067.8 ",,242.4 ,,229.7 ,,"4,034.6 ",,"19,890.0 ",Q
