State,Name,ID,Org Type,Mode,TOS, VOMS,Vehicles Available for Maximum Service,,Service Supplied (Thousands),,,,,,,,,,Unlinked Passenger Trips,,,
AK,Alaska Railroad Corporation (ARRC),,,,,,,,,,,,,,,,,,,,,
,,0041,A,AR,DO,57,102,,104.3 ,,117.8 ,,117.8 ,,6.4 ,,6.4 ,,144.6 ,,"2,813.1 ",
AK,Fairbanks North Star Borough Transit (MACS),,,,,,,,,,,,,,,,,,,,,
,,0045,A,DR,DO,4,5,,0.0 ,,168.0 ,,133.8 ,Q,12.9 ,,10.4 ,,21.1 ,,90.4 ,
,,0045,A,MB,DO,7,8,,297.7 ,,328.6 ,,297.7 ,,19.7 ,,18.2 ,,399.1 ,,"2,824.7 ",
,,,,Total,,11,13,,297.7 ,,496.6 ,,431.5 ,,32.6 ,,28.6 ,,420.2 ,,"2,915.1 ",
AK,Municipality of Anchorage - Public Transportation Department (People Mover),,,,,,,,,,,,,,,,,,,,,
,,0012,B,DR,PT,28,46,,0.0 ,,"1,166.8 ",,"1,016.1 ",,73.0 ,,63.0 ,,183.6 ,,"1,325.5 ",
,,0012,B,MB,DO,46,55,,"2,133.0 ",,"2,364.7 ",,"2,131.6 ",,164.5 ,,154.1 ,,"3,975.1 ",,"17,684.2 ",
,,0012,B,VP,PT,19,30,,0.0 ,,612.9 ,,612.9 ,,15.3 ,,15.3 ,,90.6 ,,"3,996.4 ",
,,,,Total,,93,131,,"2,133.0 ",,"4,144.5 ",,"3,760.6 ",,252.8 ,,232.4 ,,"4,249.2 ",,"23,006.1 ",
AL,Birmingham-Jefferson County Transit Authority (MAX),,,,,,,,,,,,,,,,,,,,,
,,4042,B,DR,DO,22,38,,0.0 ,,706.6 ,,646.6 ,,64.5 ,,60.8 ,,125.2 ,,888.3 ,
,,4042,B,DR,PT,5,6,,0.0 ,,147.9 ,,138.5 ,,7.3 ,,6.4 ,,22.4 ,,99.2 ,
,,4042,B,MB,DO,72,101,,"3,093.7 ",,"3,365.5 ",,"3,092.6 ",,243.5 ,,231.1 ,,"3,686.4 ",,"19,058.6 ",
,,,,Total,,99,145,,"3,093.7 ",,"4,220.0 ",,"3,877.7 ",,315.2 ,,298.2 ,,"3,834.0 ",,"20,046.1 ",
AL,"City of Huntsville, Alabama - Public Transportation Division",,,,,,,,,,,,,,,,,,,,,
,,4071,B,DR,DO,14,17,,0.0 ,,439.0 ,Q,400.7 ,,33.0 ,Q,30.0 ,,83.2 ,,557.2 ,
,,4071,B,DR,PT,3,8,,0.0 ,,45.1 ,Q,40.1 ,,8.1 ,Q,7.1 ,,36.5 ,,224.5 ,
,,4071,B,MB,DO,13,17,,648.6 ,,681.8 ,Q,648.6 ,,36.6 ,Q,35.0 ,,277.3 ,,"1,324.0 ",
,,,,Total,,30,42,,648.6 ,,"1,165.9 ",,"1,089.3 ",,77.7 ,,72.0 ,,397.0 ,,"2,105.7 ",
AL,Lee-Russell Council of Governments (LRCOG),,,,,,,,,,,,,,,,,,,,,
,,4073,A,DR,DO,13,15,,0.0 ,,454.2 ,Q,215.9 ,Q,16.0 ,Q,11.4 ,Q,46.7 ,Q,215.9 ,Q
,,4073,A,MB,DO,3,6,,128.0 ,Q,154.9 ,Q,128.0 ,Q,9.9 ,Q,9.1 ,,57.4 ,Q,128.0 ,Q
,,,,Total,,16,21,,128.0 ,,609.1 ,,343.9 ,,25.9 ,,20.6 ,,104.1 ,,343.9 ,
AL,Montgomery Area Transit System (MATS),,,,,,,,,,,,,,,,,,,,,
,,4044,A,DR,DO,13,18,,0.0 ,,418.9 ,,366.3 ,,26.4 ,,22.2 ,,41.2 ,,362.6 ,
,,4044,A,MB,DO,19,25,,978.6 ,,977.5 ,,959.2 ,,61.9 ,,60.9 ,,708.4 ,,"3,476.9 ",
,,,,Total,,32,43,,978.6 ,,"1,396.4 ",,"1,325.5 ",,88.3 ,,83.0 ,,749.6 ,,"3,839.5 ",
AL,Morgan County Area Transportation System (MCATS),,,,,,,,,,,,,,,,,,,,,
,,4111,A,DR,DO,28,30,,0.0 ,,540.2 ,Q,404.5 ,,30.2 ,,24.1 ,,145.4 ,,404.5 ,
AL,Northwest Alabama Council of Local Governments (NACOLG),,,,,,,,,,,,,,,,,,,,,
,,4068,A,DR,DO,46,49,,0.0 ,,619.2 ,Q,588.4 ,Q,42.7 ,Q,40.3 ,Q,183.8 ,,643.2 ,
AL,THE WAVE TRANSIT SYSTEM (WTS),,,,,,,,,,,,,,,,,,,,,
,,4043,A,DR,DO,20,22,,0.0 ,,698.6 ,,614.2 ,,45.2 ,,40.9 ,,71.5 ,,947.4 ,
,,4043,A,MB,DO,24,38,,"1,308.4 ",,"1,344.8 ",,"1,270.7 ",,103.5 ,,99.9 ,,793.1 ,,"4,829.4 ",Q
,,,,Total,,44,60,,"1,308.4 ",,"2,043.4 ",,"1,884.9 ",,148.7 ,,140.9 ,,864.6 ,,"5,776.8 ",
AL,Tuscaloosa County Parking and Transit Authority (TMT),,,,,,,,,,,,,,,,,,,,,
,,4045,A,DR,DO,5,7,,0.0 ,,122.2 ,,112.1 ,,10.0 ,,9.5 ,,17.2 ,,84.3 ,
,,4045,A,MB,DO,9,10,,218.6 ,,232.9 ,,218.6 ,,22.7 ,,21.4 ,,120.9 ,,801.6 ,
,,,,Total,,14,17,,218.6 ,,355.1 ,,330.6 ,,32.6 ,,30.9 ,,138.1 ,,885.9 ,
AL,Wiregrass Transit Authority,,,,,,,,,,,,,,,,,,,,,
,,4103,A,DR,DO,15,20,,0.0 ,,619.1 ,,407.3 ,,42.3 ,,17.9 ,,145.3 ,,407.3 ,
AR,Central Arkansas Transit Authority (CATA),,,,,,,,,,,,,,,,,,,,,
,,6033,A,DR,DO,15,19,,0.0 ,,646.7 ,,558.8 ,,38.4 ,,31.6 ,,59.0 ,,483.8 ,
,,6033,A,LR,DO,2,3,,37.0 ,,37.4 ,,37.0 ,,8.1 ,,8.1 ,,154.7 ,,249.1 ,
,,6033,A,MB,DO,46,62,,"2,242.3 ",,"2,374.2 ",,"2,243.3 ",,162.6 ,,157.1 ,,"2,127.7 ",,"7,882.8 ",
,,,,Total,,63,84,,"2,279.4 ",,"3,058.3 ",,"2,839.2 ",,209.0 ,,196.7 ,,"2,341.5 ",,"8,615.7 ",
AR,Fort Smith Transit (FST),,,,,,,,,,,,,,,,,,,,,
,,6086,A,DR,DO,4,8,,0.0 ,,213.0 ,,191.8 ,,13.1 ,,12.2 ,,46.0 ,,297.6 ,
,,6086,A,MB,DO,9,18,,324.7 ,,347.0 ,,312.3 ,,24.6 ,,23.2 ,,178.4 ,,751.3 ,
,,,,Total,,13,26,,324.7 ,,560.0 ,,504.1 ,,37.7 ,,35.5 ,,224.4 ,,"1,048.9 ",
AR,Ozark Regional Transit (ORT),,,,,,,,,,,,,,,,,,,,,
,,6072,A,DR,DO,17,31,,0.0 ,,558.6 ,N,449.7 ,Q,37.6 ,Q,30.7 ,Q,84.2 ,Q,"1,043.9 ",Q
