State,Name,ID,Org Type ,Mode,TOS, VOMS,Service Supplied (in Thousands),,,,,,,,,,,,Unlinked Passenger Trips ,,,
AK,Alaska Railroad Corporation (ARRC),0041,A,AR,DO,57,103,,119.4 ,,120.5 ,,120.5 ,,6.5 ,,6.5 ,,120.4 ,,"2,278.3 ",
AK,Fairbanks North Star Borough Transit (MACS),0045,A,DR,DO,5,6,,0.0 ,,172.1 ,Q,150.9 ,Q,13.2 ,Q,10.4 ,Q,22.2 ,,134.0 ,
AK,Fairbanks North Star Borough Transit (MACS),0045,A,MB,DO,7,8,,297.0 ,,327.7 ,,297.0 ,,19.6 ,,18.0 ,,376.5 ,,"2,666.4 ",
,,,,Total,,12,14,,297.0 ,,499.9 ,,447.8 ,,32.8 ,,28.4 ,,398.7 ,,"2,800.4 ",
AK,Municipality of Anchorage - Public Transportation Department (People Mover),0012,B,DR,PT,29,48,,0.0 ,,"1,159.1 ",,"1,002.9 ",,77.8 ,,66.9 ,,180.7 ,,"1,296.9 ",
AK,Municipality of Anchorage - Public Transportation Department (People Mover),0012,B,MB,DO,46,55,,"2,156.1 ",,"2,385.3 ",,"2,154.8 ",,161.6 ,,151.1 ,,"3,948.2 ",,"17,557.4 ",
,,,,Total,,75,103,,"2,156.1 ",,"3,544.4 ",,"3,157.7 ",,239.3 ,,218.0 ,,"4,128.9 ",,"18,854.4 ",
AK,"VPSI, Anchorage",0049,D,VP,DO,41,53,,0.0 ,,743.4 ,,743.4 ,,16.6 ,,16.6 ,,105.5 ,,"4,624.8 ",
AL, Lee-Russell Council of Governments (LRCOG),4073,A,DR,DO,12,19,,0.0 ,,256.0 ,,227.2 ,,13.0 ,,11.6 ,,47.8 ,,191.0 ,
AL, Lee-Russell Council of Governments (LRCOG),4073,A,MB,DO,2,12,,96.5 ,,109.5 ,,98.3 ,,8.1 ,,7.6 ,,34.5 ,,103.6 ,
,,,,Total,,14,31,,96.5 ,,365.5 ,,325.5 ,,21.1 ,,19.2 ,,82.3 ,,294.6 ,
AL,Birmingham-Jefferson County Transit Authority (MAX),4042,B,DR,DO,24,37,,0.0 ,,"1,108.2 ",,"1,030.6 ",,69.0 ,,65.4 ,,117.3 ,,832.0 ,
AL,Birmingham-Jefferson County Transit Authority (MAX),4042,B,DR,PT,5,6,,0.0 ,,134.6 ,,126.3 ,,7.5 ,,6.8 ,,19.6 ,,86.8 ,
AL,Birmingham-Jefferson County Transit Authority (MAX),4042,B,MB,DO,70,94,,"2,863.2 ",,"2,985.4 ",,"2,747.0 ",,243.5 ,,231.9 ,,"3,541.7 ",,"18,310.5 ",
,,,,Total,,99,137,,"2,863.2 ",,"4,228.1 ",,"3,903.9 ",,320.0 ,,304.1 ,,"3,678.6 ",,"19,229.3 ",
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,DR,DO,14,22,,0.0 ,,439.3 ,,403.1 ,,33.6 ,,31.9 ,,90.4 ,,617.0 ,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,DR,PT,3,8,,0.0 ,,31.1 ,,29.4 ,,5.2 ,,4.9 ,,6.2 ,,63.0 ,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,MB,DO,13,16,,614.3 ,,653.8 ,,613.8 ,,36.2 ,,34.9 ,,292.6 ,,"1,531.1 ",
,,,,Total,,30,46,,614.3 ,,"1,124.2 ",,"1,046.3 ",,75.0 ,,71.7 ,,389.1 ,,"2,211.0 ",
AL,Montgomery Area Transit System (MATS),4044,A,DR,DO,11,21,,0.0 ,,410.4 ,,380.6 ,,25.6 ,,23.4 ,,38.3 ,,337.2 ,
AL,Montgomery Area Transit System (MATS),4044,A,MB,DO,25,32,,"1,070.0 ",,"1,074.0 ",,"1,065.0 ",,66.6 ,,66.1 ,,869.7 ,,"4,261.4 ",
,,,,Total,,36,53,,"1,070.0 ",,"1,484.4 ",,"1,445.6 ",,92.3 ,,89.6 ,,908.0 ,,"4,598.6 ",
AL,Morgan County Area Transportation System (MCATS),4111,A,DR,DO,26,28,,0.0 ,,489.1 ,Q,356.0 ,Q,31.0 ,Q,17.7 ,Q,176.2 ,Q,395.0 ,
AL,Northwest Alabama Council of Local Governments (NACOLG),4068,A,DR,DO,54,57,,0.0 ,,670.4 ,,631.5 ,,42.6 ,,40.1 ,,210.6 ,,737.0 ,
AL,The Wave Transit System (WTS),4043,A,DR,DO,23,23,,0.0 ,,766.7 ,,681.5 ,,51.9 ,,46.9 ,,90.5 ,,731.8 ,
AL,The Wave Transit System (WTS),4043,A,MB,DO,24,38,,"1,248.7 ",,"1,287.1 ",,"1,206.3 ",,100.8 ,,96.8 ,,855.3 ,,"5,208.6 ",
,,,,Total,,47,61,,"1,248.7 ",,"2,053.8 ",,"1,887.8 ",,152.6 ,,143.7 ,,945.8 ,,"5,940.4 ",
AL,Tuscaloosa County Parking and Transit Authority (TMT),4045,A,DR,DO,5,7,,0.0 ,,133.5 ,,124.4 ,,10.1 ,,9.5 ,,17.6 ,,86.2 ,
AL,Tuscaloosa County Parking and Transit Authority (TMT),4045,A,MB,DO,9,10,,233.6 ,,247.6 ,,233.6 ,,23.3 ,,22.1 ,,124.0 ,,814.0 ,
,,,,Total,,14,17,,233.6 ,,381.1 ,,358.1 ,,33.4 ,,31.6 ,,141.6 ,,900.1 ,
AL,Wiregrass Transit Authority,4103,A,DR,DO,14,20,,0.0 ,,541.9 ,,514.8 ,,38.0 ,,35.0 ,,142.9 ,,469.6 ,
AR,Central Arkansas Transit Authority (CATA),6033,A,DR,DO,15,18,,0.0 ,,587.1 ,,500.8 ,,36.2 ,,29.3 ,,56.2 ,,443.0 ,
AR,Central Arkansas Transit Authority (CATA),6033,A,LR,DO,2,4,,37.5 ,,37.8 ,,37.5 ,,8.1 ,,8.1 ,,154.4 ,,249.0 ,
AR,Central Arkansas Transit Authority (CATA),6033,A,MB,DO,46,58,,"2,262.7 ",,"2,391.5 ",,"2,261.4 ",,162.8 ,,157.3 ,,"2,202.3 ",,"8,158.5 ",
,,,,Total,,63,80,,"2,300.1 ",,"3,016.4 ",,"2,799.7 ",,207.1 ,,194.7 ,,"2,412.8 ",,"8,850.4 ",
AR,Fort Smith Transit (FST),6086,A,DR,DO,4,8,,0.0 ,,209.7 ,,187.6 ,,14.1 ,,13.2 ,,32.5 ,,210.6 ,
AR,Fort Smith Transit (FST),6086,A,MB,DO,10,18,,326.0 ,,334.0 ,,299.6 ,,24.2 ,,22.7 ,,170.2 ,,716.5 ,
,,,,Total,,14,26,,326.0 ,,543.7 ,,487.1 ,,38.3 ,,35.9 ,,202.7 ,,927.1 ,
AR,Ozark Regional Transit (ORT),6072,A,DR,DO,11,25,,0.0 ,,260.0 ,,206.4 ,,16.2 ,,14.3 ,,32.4 ,,401.3 ,
AR,Ozark Regional Transit (ORT),6072,A,MB,DO,9,12,,281.5 ,,298.9 ,,268.6 ,,20.3 ,,19.0 ,,70.9 ,,411.1 ,
,,,,Total,,20,37,,281.5 ,,558.9 ,,475.0 ,,36.6 ,,33.3 ,,103.2 ,,812.4 ,
AR,"University of Arkansas, Fayetteville (Razorback Transit)",6062,A,DR,DO,4,5,,0.0 ,,44.7 ,,29.3 ,,7.3 ,,5.9 ,,7.8 ,,18.6 ,
AR,"University of Arkansas, Fayetteville (Razorback Transit)",6062,A,MB,DO,14,20,,269.0 ,,296.4 ,,284.3 ,,28.6 ,,28.0 ,,"1,322.9 ",,"1,587.4 ",
,,,,Total,,18,25,,269.0 ,,341.0 ,,313.6 ,,35.8 ,,33.9 ,,"1,330.6 ",,"1,606.0 ",
AZ,City of Glendale Transit,9034,B,DR,DO,13,18,,0.0 ,,423.8 ,,390.6 ,,33.6 ,,29.6 ,,89.1 ,,489.8 ,
AZ,City of Glendale Transit,9034,B,MB,DO,6,10,,249.2 ,,252.2 ,,248.0 ,,19.8 ,,18.5 ,,197.7 ,,555.8 ,
,,,,Total,,19,28,,249.2 ,,676.0 ,,638.6 ,,53.4 ,,48.1 ,,286.8 ,,"1,045.6 ",
AZ,City of Phoenix Public Transit Department (Valley Metro),9032,B,DR,PT,132,163,,0.0 ,,"5,635.9 ",Q,"4,740.4 ",Q,400.7 ,,332.1 ,,524.3 ,,"4,457.4 ",
AZ,City of Phoenix Public Transit Department (Valley Metro),9032,B,MB,PT,420,492,,"17,891.7 ",,"21,201.0 ",,"17,864.6 ",,"1,494.4 ",,"1,329.8 ",,"48,778.6 ",,"188,866.3 ",
,,,,Total,,552,655,,"17,891.7 ",,"26,836.8 ",,"22,604.9 ",,"1,895.2 ",,"1,661.9 ",,"49,302.9 ",,"193,323.7 ",
AZ,City of Tempe Transportation Planning and Transit Division (TIM - Tempe in Motion),9172,B,MB,PT,87,119,,"4,337.0 ",,"4,955.6 ",,"4,330.0 ",,390.4 ,Q,345.8 ,Q,"7,366.3 ",,"22,928.8 ",
AZ,City of Tucson (COT),9033,A,DR,DO,94,115,,0.0 ,,"3,575.6 ",,"2,945.7 ",,284.5 ,,241.5 ,,428.2 ,,"2,930.7 ",
AZ,City of Tucson (COT),9033,A,MB,DO,155,189,,"6,956.9 ",,"7,870.2 ",,"6,943.6 ",,582.9 ,,545.1 ,,"17,386.4 ",,"62,739.8 ",
,,,,Total,,249,304,,"6,956.9 ",,"11,445.8 ",,"9,889.3 ",,867.4 ,,786.5 ,,"17,814.6 ",,"65,670.5 ",
AZ,Coconino County Transportation Services (Mountain Line/VanGo),9180,A,DR,DO,6,10,,0.0 ,,104.0 ,,91.9 ,,10.5 ,,8.1 ,,19.1 ,,107.5 ,
AZ,Coconino County Transportation Services (Mountain Line/VanGo),9180,A,MB,DO,8,14,,482.4 ,,511.2 ,,481.4 ,,33.9 ,,32.7 ,,613.9 ,,"1,534.8 ",
,,,,Total,,14,24,,482.4 ,,615.2 ,,573.3 ,,44.5 ,,40.8 ,,633.0 ,,"1,642.3 ",
AZ,Maricopa County Special Transportation Services (MCHSD),9132,A,DR,DO,38,62,,0.0 ,,962.3 ,,762.9 ,,79.0 ,,63.6 ,,100.0 ,,562.5 ,
AZ,Peoria Transit,9140,A,DR,DO,8,9,,0.0 ,,175.9 ,,162.6 ,,10.0 ,,9.1 ,,42.2 ,,179.2 ,
AZ,"Phoenix - VPSI, Inc.",9169,D,VP,DO,313,328,,0.0 ,,"4,896.3 ",,"4,896.3 ",,128.2 ,,128.2 ,,"1,028.8 ",,"27,727.4 ",
AZ,"Regional Public Transportation Authority, dba: Valley Metro (RPTA)",9136,B,DR,PT,49,63,,0.0 ,,"2,109.1 ",,"1,796.7 ",,151.8 ,,121.6 ,,206.8 ,,"1,973.2 ",
AZ,"Regional Public Transportation Authority, dba: Valley Metro (RPTA)",9136,B,MB,PT,117,141,,"4,973.1 ",,"6,305.9 ",,"4,973.1 ",,374.4 ,,306.7 ,,"5,927.5 ",,"34,557.4 ",
,,,,Total,,166,204,,"4,973.1 ",,"8,415.1 ",,"6,769.9 ",,526.1 ,,428.3 ,,"6,134.3 ",,"36,530.6 ",
AZ,"Sun Cities Area Transit System, Inc. (SCAT)",9135,E,DR,DO,13,14,,0.0 ,,260.0 ,,230.5 ,,23.3 ,,21.8 ,,57.1 ,,227.9 ,
AZ,Surprise Dial-A-Ride Transit System,9137,A,DR,DO,6,7,,0.0 ,,96.3 ,,48.3 ,,9.4 ,,3.0 ,,12.4 ,,63.9 ,
AZ,Yuma Metropolitan Planning Organization (YMPO),9192,B,DR,PT,11,13,,0.0 ,,474.8 ,,462.3 ,,46.6 ,,45.8 ,,66.1 ,,535.2 ,
AZ,Yuma Metropolitan Planning Organization (YMPO),9192,B,MB,PT,7,9,,543.8 ,,556.4 ,,543.8 ,,28.0 ,,27.4 ,,197.6 ,,"1,244.6 ",
,,,,Total,,18,22,,543.8 ,,"1,031.1 ",,"1,006.1 ",,74.6 ,,73.2 ,,263.7 ,,"1,779.8 ",
CA,Access Services Incorporated (ASI),9157,E,DR,PT,520,592,,0.0 ,,"29,479.8 ",,"24,355.2 ",,"1,551.6 ",,"1,303.5 ",,"2,396.4 ",,"30,038.2 ",
CA,Alameda-Contra Costa Transit District (AC Transit),9014,B,MB,DO,528,632,,"21,194.3 ",,"24,617.0 ",,"21,198.6 ",,"1,974.3 ",,"1,817.5 ",,"66,962.7 ",,"209,399.8 ",
CA,Altamont Commuter Express (ACE),9182,B,CR,PT,18,21,,736.8 ,,722.2 ,,721.8 ,,19.0 ,,18.7 ,,642.0 ,,"30,172.8 ",
CA,Antelope Valley Transit Authority (AVTA),9121,B,DR,PT,12,19,,0.0 ,,674.1 ,Q,622.5 ,Q,34.3 ,Q,30.6 ,Q,58.5 ,Q,743.5 ,Q
CA,Antelope Valley Transit Authority (AVTA),9121,B,MB,PT,49,72,,"2,594.3 ",,"2,911.8 ",,"2,603.9 ",,163.2 ,,148.1 ,,"3,066.3 ",,"39,678.5 ",Q
,,,,Total,,61,91,,"2,594.3 ",,"3,586.0 ",,"3,226.3 ",,197.5 ,,178.7 ,,"3,124.8 ",,"40,422.0 ",
CA,Butte County Association of Governments (BCAG),9208,B,DR,PT,20,22,,0.0 ,,531.9 ,,471.7 ,,54.6 ,,42.7 ,,128.3 ,,424.7 ,Q
CA,Butte County Association of Governments (BCAG),9208,B,MB,PT,25,31,,"1,057.7 ",,"1,110.2 ",,"1,057.7 ",,74.0 ,,67.3 ,,"1,021.0 ",,"3,257.1 ",Q
