State,Name,ID,Org Type,Mode,TOS,VOMS,Vehicles Available for Maximum Service,, Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Unlinked Passenger Trips,,Passenger Miles Traveled,,
AK,Alaska Railroad Corporation (ARRC),0041,A,AR,DO,57,102.0,,128.2,,133.2,,133.2,,7.2,,7.2,,129.9,,"2,404.1",,
AK,Fairbanks North Star Borough Transit (MACS),0045,A,DR,DO,5,6.0,,0.0,,190.3,,162.7,,12.8,,10.4,,24.6,,149.1,,
AK,Fairbanks North Star Borough Transit (MACS),0045,A,MB,DO,7,8.0,,353.0,,379.6,,353.0,Q,19.2,,18.1,,294.7,,"2,089.1",,
,,,,Total,,12,14.0,,353.0,,570.0,,515.7,,32.0,,28.5,,319.4,,"2,238.2",,
AK,Municipality of Anchorage - Public Transportation Department (People Mover),0012,B,DR,PT,33,47.0,,0.0,,"1,351.7",,"1,123.8",,100.2,,80.4,,180.5,,"1,295.6",,
AK,Municipality of Anchorage - Public Transportation Department (People Mover),0012,B,MB,DO,46,55.0,,"2,174.4",,"2,424.1",,"2,173.7",,167.5,,156.3,,"3,989.1",,"17,760.2",,
,,,,Total,,79,102.0,,"2,174.4",,"3,775.7",,"3,297.5",,267.6,,236.7,,"4,169.6",,"19,055.8",,
AK,"VPSI, Anchorage",0049,D,VP,DO,42,53.0,,0.0,,"1,031.8",,"1,031.8",,22.5,,22.5,,146.6,,"6,616.2",,
AL,Lee-Russell Council of Governments (LRCOG),4073,A,DR,DO,12,18.0,,0.0,,222.0,,193.6,,11.7,,10.1,,40.7,,162.6,,
AL,Lee-Russell Council of Governments (LRCOG),4073,A,MB,DO,2,15.0,,78.1,,89.5,,79.7,,6.3,,6.0,,27.9,,84.2,,
,,,,Total,,14,33.0,,78.1,,311.5,,273.3,,18.0,,16.1,,68.5,,246.8,,
AL,Birmingham-Jefferson County Transit Authority (MAX),4042,B,DR,DO,23,37.0,,0.0,,"1,122.1",Q,"1,054.1",,75.5,Q,70.7,,127.4,,903.8,,
AL,Birmingham-Jefferson County Transit Authority (MAX),4042,B,DR,PT,5,6.0,,0.0,,17.8,,16.7,,0.9,,0.8,,2.0,,8.9,,
