State,Name,ID,Org Type,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,,
AK,Alaska Railroad Corporation(ARRC),0041,A,AR,DO,57,101.0,,129.3,,130.5,,130.5,,7.1,,7.1,,137.8,,"2,575.5",,
AK,Fairbanks North Star Borough Transit(MACS),0045,A,DR,DO,6,7.0,,0.0,,192.5,,163.3,,13.7,,11.8,,29.1,,175.3,,
AK,Fairbanks North Star Borough Transit(MACS),0045,A,MB,DO,8,10.0,,381.7,,412.4,,375.7,,21.8,,20.7,,292.2,,"2,196.4",,
,,,,Total,,14,17.0,,381.7,,604.8,,538.9,,35.6,,32.5,,321.3,,"2,371.6",,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,B,DR,PT,37,47.0,,0.0,,"1,292.6",,"1,113.4",,99.6,,82.2,,186.0,,"1,210.7",,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,B,MB,DO,46,55.0,,"2,151.2",,"2,407.3",,"2,150.3",,170.4,,158.9,,"4,220.7",,"18,814.7",,
,,,,Total,,83,102.0,,"2,151.2",,"3,699.8",,"3,263.7",,270.0,,241.1,,"4,406.7",,"20,025.4",,
AK,"VPSI, Anchorage",0049,D,VP,DO,52,58.0,,0.0,,"1,170.6",,"1,170.6",,25.5,,25.5,,181.2,,"8,057.4",,
AL, Lee-Russell Council of Governments(LRCOG),4073,A,DR,DO,10,14.0,,0.0,,224.7,,194.6,,11.5,,9.8,,40.6,,122.1,,
AL, Lee-Russell Council of Governments(LRCOG),4073,A,MB,DO,2,15.0,,79.5,,84.5,,79.5,,6.1,,5.9,,15.9,Q,82.5,,
,,,,Total,,12,29.0,,79.5,,309.2,,274.1,,17.5,,15.7,,56.5,,204.7,,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,A,DR,DO,26,37.0,,0.0,,"1,146.9",,"1,074.7",,77.7,,72.8,,139.4,,996.6,,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,A,MB,DO,71,87.0,,"2,820.9",,"3,020.2",,"2,792.0",,236.2,,223.9,,"3,083.8",,"16,097.0",,
,,,,Total,,97,124.0,,"2,820.9",,"4,167.1",,"3,866.7",,314.0,,296.8,,"3,223.2",,"17,093.6",,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,DR,DO,14,22.0,,0.0,,459.6,,423.7,,34.4,,32.4,,86.1,,641.6,,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,DR,PT,1,3.0,,0.0,,5.1,,4.5,,1.5,,1.3,,2.3,,10.2,,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,MB,DO,13,20.0,,612.5,,648.2,,612.0,,39.8,,38.5,,303.3,,"1,519.1",,
,,,,Total,,28,45.0,,612.5,,"1,112.8",,"1,040.2",,75.6,,72.2,,391.6,,"2,170.8",,
AL,Montgomery Area Transit System(MATS),4044,A,DR,DO,8,11.0,,0.0,,402.0,,360.2,,23.8,Q,21.0,Q,37.2,,334.8,,
AL,Montgomery Area Transit System(MATS),4044,A,MB,DO,25,33.0,,"1,284.9",,"1,293.2",,"1,282.0",Q,86.7,,86.1,,"1,294.2",Q,"6,742.8",Q,
,,,,Total,,33,44.0,,"1,284.9",,"1,695.2",,"1,642.2",,110.5,,107.1,,"1,331.4",,"7,077.7",,
AL,Morgan County Area Transportation System(MCATS),4111,A,DR,DO,28,28.0,,0.0,,515.8,Q,461.3,Q,39.1,Q,31.2,Q,173.4,,919.2,Q,
AL,Northwest Alabama Council of Local Governments(NACOLG),4068,A,DR,DO,52,57.0,,0.0,,652.0,,586.6,,47.1,,42.1,,398.2,Q,"1,157.8",Q,
AL,Regional Planning Commission of Greater Birmingham(RPCGB),4169,B,VP,PT,42,45.0,,0.0,,651.6,,651.6,,15.5,,15.5,,112.1,,"4,443.7",,
AL,The Wave Transit System(WTS),4043,A,DR,DO,25,31.0,,0.0,,891.1,,835.3,,57.8,,53.3,,105.1,,789.2,,
AL,The Wave Transit System(WTS),4043,A,MB,DO,23,38.0,,"1,265.4",,"1,342.8",,"1,255.2",,100.0,,96.2,,"1,093.0",,"6,073.0",,
,,,,Total,,48,69.0,,"1,265.4",,"2,233.8",,"2,090.4",,157.8,,149.4,,"1,198.1",,"6,862.2",,
AL,Tuscaloosa County Parking and Transit Authority(TMT),4045,A,DR,DO,5,7.0,,0.0,,119.6,,110.5,,10.1,,9.6,,13.3,,80.1,,
AL,Tuscaloosa County Parking and Transit Authority(TMT),4045,A,MB,DO,6,10.0,,234.5,,246.8,,236.1,,22.5,,21.5,,197.1,,"1,044.7",,
,,,,Total,,11,17.0,,234.5,,366.4,,346.7,,32.6,,31.1,,210.5,,"1,124.8",,
AL,Wiregrass Transit Authority,4103,B,DR,DO,13,20.0,,0.0,,487.5,,474.8,,40.6,,40.1,,121.3,,420.4,,
AL,Wiregrass Transit Authority,4103,B,DR,PT,19,21.0,,0.0,,351.6,,351.6,,17.6,,17.6,,26.8,,286.5,,
,,,,Total,,32,41.0,,0.0,,839.1,,826.4,,58.3,,57.7,,148.1,,706.9,,
AR,Central Arkansas Transit Authority(CATA),6033,A,DR,DO,17,22.0,,0.0,,593.3,,526.7,,36.5,,30.3,,57.9,,455.2,,
AR,Central Arkansas Transit Authority(CATA),6033,A,LR,DO,3,5.0,,53.0,,54.1,,53.0,,12.0,,12.0,,134.2,,206.6,,
AR,Central Arkansas Transit Authority(CATA),6033,A,MB,DO,46,65.0,,"2,271.8",,"2,401.0",,"2,270.2",,163.6,,157.9,,"2,452.6",,"13,371.8",Q,
,,,,Total,,66,92.0,,"2,324.8",,"3,048.4",,"2,849.9",,212.0,,200.2,,"2,644.7",,"14,033.6",,
AR,Fort Smith Transit(FST),6086,A,DR,DO,4,6.0,,0.0,,172.5,,151.1,,12.1,,9.8,,28.9,,167.6,,
AR,Fort Smith Transit(FST),6086,A,MB,DO,7,13.0,,299.4,,310.5,,281.5,,23.9,,22.8,,224.4,,997.8,,
,,,,Total,,11,19.0,,299.4,,483.0,,432.5,,35.9,,32.5,,253.3,,"1,165.5",,
AR,Ozark Regional Transit(ORT),6072,A,DR,DO,6,26.0,,0.0,,177.5,,139.7,,12.2,,10.5,,17.4,,83.6,,
AR,Ozark Regional Transit(ORT),6072,A,MB,DO,8,23.0,,336.3,,372.6,,336.2,,25.1,,23.6,,187.8,,732.6,,
,,,,Total,,14,49.0,,336.3,,550.1,,475.9,,37.3,,34.0,,205.3,,816.2,,
AR,"University of Arkansas, Fayetteville(Razorback Transit)",6062,A,DR,DO,4,6.0,,0.0,,46.3,,30.6,,7.3,,6.0,,7.1,,17.3,,
AR,"University of Arkansas, Fayetteville(Razorback Transit)",6062,A,MB,DO,14,21.0,,283.6,,292.2,,281.3,,29.6,,29.0,,"1,216.3",,"1,982.5",,
,,,,Total,,18,27.0,,283.6,,338.4,,311.8,,36.8,,35.0,,"1,223.4",,"1,999.9",,
AZ,City of Glendale Transit,9034,B,DR,PT,2,3.0,,0.0,,21.7,,21.7,,4.3,,4.3,,4.9,,21.7,,
AZ,City of Glendale Transit,9034,B,DR,DO,14,18.0,,0.0,,439.1,,403.4,,32.8,,30.6,,88.6,,426.7,,
AZ,City of Glendale Transit,9034,B,MB,DO,3,8.0,,100.6,,101.8,,100.6,,9.2,,8.9,,103.9,,272.3,,
,,,,Total,,19,29.0,,100.6,,562.6,,525.7,,46.3,,43.8,,197.4,,720.8,,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,B,DR,PT,105,125.0,,0.0,,"4,806.0",,"4,063.5",,341.6,,292.6,,391.4,,"3,248.8",,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,B,DR,DO,32,57.0,,0.0,,750.4,,545.2,,62.6,,45.8,,166.2,,"1,045.4",,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,B,MB,PT,450,518.0,,"20,786.6",,"24,443.3",,"20,770.1",,"1,785.3",,"1,591.1",,"52,588.1",,"186,894.7",,
,,,,Total,,587,700.0,,"20,786.6",,"29,999.8",,"25,378.9",,"2,189.5",,"1,929.5",,"53,145.7",,"191,188.9",,
AZ,City of Scottsdale - Scottsdale Trolley(COS),9131,B,MB,PT,13,16.0,,219.9,,231.2,,220.1,,37.6,,36.8,,297.6,,359.1,,
AZ,City of Tempe Transit Division - dba Valley Metro(TIM - Tempe in Motion),9172,B,MB,PT,118,157.0,,"5,628.4",,"6,274.1",,"5,608.8",,511.3,,474.9,,"7,330.2",,"26,698.0",,
AZ,City of Tucson(COT),9033,A,DR,DO,99,119.0,,0.0,,"3,717.5",,"3,111.5",,283.6,,242.9,,450.5,,"3,111.5",,
AZ,City of Tucson(COT),9033,A,MB,DO,203,218.0,,"7,576.5",,"8,610.0",,"7,560.2",,635.9,,593.3,,"18,407.3",,"66,741.3",,
,,,,Total,,302,337.0,,"7,576.5",,"12,327.5",,"10,671.7",,919.5,,836.3,,"18,857.8",,"69,852.9",,
AZ,Maricopa County Special Transportation Services(MCHSD),9132,A,DR,DO,35,63.0,,0.0,,820.4,,733.5,,57.3,,49.3,,87.1,,641.8,,
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,A,DR,DO,8,10.0,,0.0,,120.4,,99.2,,12.2,,9.2,,22.6,,113.5,,
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,A,MB,DO,12,17.0,,597.8,,665.9,,650.1,,46.8,,44.6,,992.9,,"2,318.2",Q,
,,,,Total,,20,27.0,,597.8,,786.4,,749.3,,59.0,,53.8,,"1,015.5",,"2,431.7",,
AZ,Peoria Transit,9140,A,DR,DO,10,11.0,,0.0,,221.2,,203.4,,13.4,,12.1,,40.1,,193.3,,
AZ,"Phoenix - VPSI, Inc.",9169,D,VP,DO,398,422.0,,0.0,,"6,311.0",,"6,311.0",,160.0,,160.0,,"1,371.6",,"34,371.7",,
AZ,"Regional Public Transportation Authority, dba: Valley Metro(RPTA)",9136,B,DR,PT,56,73.0,,0.0,,"2,330.7",,"1,872.3",,165.5,,131.8,,241.6,,"2,126.8",,
