State,Name,ID,Org Type,SSW,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,,
AK,Alaska Railroad Corporation(ARRC),0041,State DOT,N,AR,DO,30,95,,98.2,,99.3,,99.3,,5.3,,5.3,,115.2,,"2,197.5",,
AK,Fairbanks North Star Borough Transit(MACS),0045,City,N,DR,DO,6,8,,0.0 ,,166.9,,140.9,,14.6,,12.5,,20.5,,133.4,,
AK,Fairbanks North Star Borough Transit(MACS),0045,City,N,MB,DO,8,10,,430.2,,456.7,,418.0,,25.2,,24.0,,391.8,,"1,721.7",,
,,,,,Total,,14,18,,430.2,,623.6,,558.9,,39.8,,36.5,,412.3,,"1,855.1",,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,City,N,DR,PT,42,48,,0.0 ,,"1,322.9",,"1,173.8",,105.0,,99.9,,198.5,,"1,264.5",,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,City,N,MB,DO,43,60,,"1,898.3",,"2,125.3",,"1,897.5",,162.6,,153.2,,"4,148.5",,"20,089.1",,
,,,,,Total,,85,108,,"1,898.3",,"3,448.2",,"3,071.3",,267.6,,253.0,,"4,347.0",,"21,353.7",,
AK,"VPSI, Anchorage",0049,Contractor,N,VP,DO,66,87,,0.0 ,,"1,535.5",,"1,535.5",,33.4,,33.4,,260.9,,"11,328.3",,
AL, Lee-Russell Council of Governments(LRCOG),4073,MPO,Y,DR,DO,20,,,,,,,456.0,,,,30.2,,60.6,,,,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Agency,N,DR,DO,26,43,,0.0 ,,"1,191.1",,"1,111.3",,75.2,,70.4,,116.5,,828.2,,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Agency,N,MB,DO,68,75,,"2,753.0",,"2,881.4",,"2,661.6",,229.2,,217.1,,"2,430.1",,"13,791.1",,
,,,,,Total,,94,118,,"2,753.0",,"4,072.5",,"3,773.0",,304.4,,287.5,,"2,546.6",,"14,619.2",,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,N,DR,DO,15,23,,0.0 ,,464.0,,424.6,,31.0,,29.0,,76.1,,698.1,,
