State,Name,ID,Org Type,SSW,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,
AK,Alaska Railroad Corporation(ARRC),0041,State Government,N,AR,DO,30,95,,1083.513,,985.273,,983.2,,37.7,,37.6,,145.3,,"19,193.0",
AK,Fairbanks North Star Borough Transit(MACS),0045,City,Y,DR,DO,6,,,,,,,144.7,,,,10.9,,19.0,,,
AK,Fairbanks North Star Borough Transit(MACS),0045,City,Y,MB,DO,10,,,,,,,451.2,,,,24.2,,428.2,,,
,,,,,Total,,16,,,,,,,595.9,,,,35.1,,447.1,,,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,City,N,DR,PT,42,48,,0,,1326.929,,"1,180.4",,104.5,,94.5,,196.4,,"1,005.2",
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,City,N,MB,DO,43,52,,1871.62,,2096.867,,"1,870.5",,161.8,,152.5,,"4,088.5",,"19,800.9",
,,,,,Total,,85,100,,1871.62,,3423.796,,"3,050.9",,266.3,,247.0,,"4,285.0",,"20,806.1",
AK,"vRide, Anchorage",0049,Contractor,N,VP,DO,66,87,,0,,1607.154,,"1,607.2",,34.7,,34.7,,269.6,,"11,825.6",
AL,Autauga County Commission(ACRT),4213,City,Y,DR,DO,12,,,,,,,260.6,,,,19.0,,14.7,,,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Authority,N,DR,DO,26,30,,0,,1139.286,,"1,060.6",,76.6,,71.7,,121.6,,864.7,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Authority,N,MB,DO,68,75,,2852.552,,2971.675,,"2,718.3",,237.2,,223.7,,"2,734.0",,"15,521.4",
,,,,,Total,,94,105,,2852.552,,4110.961,,"3,779.0",,313.8,,295.4,,"2,855.6",,"16,386.1",
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,N,DR,DO,16,21,,0,,499.675,,461.0,,30.9,,28.6,,91.8,,712.4,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,N,MB,DO,13,18,,630.37,,646.124,,623.3,,44.2,,43.1,,399.8,,"2,178.0",
,,,,,Total,,29,39,,630.37,,1145.799,,"1,084.2",,75.1,,71.7,,491.6,,"2,890.5",
