State,Name,ID,Org Type,SSW,Urbanized Area,UZA Population,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Unlinked Passenger Trips,,Passenger Miles,,,
AK,Alaska Railroad Corporation(ARRC),0041,State Government,N,"Anchorage, AK","251,243",AR,DO, 32 , 95 ,," 1,016.8 ",," 1,016.0 ",," 1,014.6 ",, 37.4 ,, 37.3 ,, 156.3 ,," 20,181.1 ",,,
AK,Alaska Railroad Corporation(ARRC),0041,State Government,N,"Anchorage, AK","251,243",Total,, 32 , 95 ,," 1,016.8 ",," 1,016.0 ",," 1,014.6 ",, 37.4 ,, 37.3 ,, 156.3 ,," 20,181.1 ",,,
AK,Fairbanks North Star Borough Transit(MACS),0045,City,Y,"Fairbanks, AK","64,513",DR,DO, 5 ,,, -   ,, -   ,, 133.9 ,, -   ,, 10.4 ,, 20.1 ,, -   ,,,
AK,Fairbanks North Star Borough Transit(MACS),0045,City,Y,"Fairbanks, AK","64,513",MB,DO, 10 ,,, -   ,, -   ,, 517.2 ,, -   ,, 26.9 ,, 475.9 ,, -   ,,,
AK,Fairbanks North Star Borough Transit(MACS),0045,City,Y,"Fairbanks, AK","64,513",Total,, 15 ,,, -   ,, -   ,, 651.0 ,, -   ,, 37.4 ,, 496.0 ,, -   ,,,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,City,N,"Anchorage, AK","251,243",DR,PT, 42 , 48 ,, -   ,," 1,223.0 ",," 1,073.8 ",, 100.8 ,, 84.4 ,, 184.0 ,, 922.9 ,,,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,City,N,"Anchorage, AK","251,243",MB,DO, 44 , 55 ,," 1,882.2 ",," 2,116.0 ",," 1,881.4 ",, 163.1 ,, 153.3 ,," 3,986.9 ",," 19,307.3 ",,,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,City,N,"Anchorage, AK","251,243",Total,, 86 , 103 ,," 1,882.2 ",," 3,339.0 ",," 2,955.2 ",, 263.9 ,, 237.6 ,," 4,170.9 ",," 20,230.2 ",,,
AK,"vRide, Inc. - Anchorage",0049,Contractor,N,"Anchorage, AK","251,243",VP,DO, 67 , 79 ,, -   ,," 1,587.7 ",," 1,587.7 ",, 34.9 ,, 34.9 ,, 256.2 ,," 11,211.0 ",,,
AK,"vRide, Inc. - Anchorage",0049,Contractor,N,"Anchorage, AK","251,243",Total,, 67 , 79 ,, -   ,," 1,587.7 ",," 1,587.7 ",, 34.9 ,, 34.9 ,, 256.2 ,," 11,211.0 ",,,
AL,Autauga County Commission(ACRT),4213,City,Y,"Montgomery, AL","196,892",DR,DO, 14 ,,, -   ,, -   ,, 241.1 ,, -   ,, 21.2 ,, 15.4 ,, -   ,,,
AL,Autauga County Commission(ACRT),4213,City,Y,"Montgomery, AL","196,892",Total,, 14 ,,, -   ,, -   ,, 241.1 ,, -   ,, 21.2 ,, 15.4 ,, -   ,,,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Authority,N,"Birmingham, AL","749,495",DR,DO, 26 , 32 ,, -   ,," 1,204.5 ",," 1,121.4 ",, 79.3 ,, 75.3 ,, 113.0 ,, 911.2 ,,,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Authority,N,"Birmingham, AL","749,495",MB,DO, 68 , 76 ,," 2,726.8 ",," 3,055.1 ",," 2,718.3 ",, 228.4 ,, 217.3 ,," 3,144.6 ",," 16,938.5 ",,,
