Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,"Primary UZA
 Population",Agency VOMS,Mode,TOS,Mode VOMS,Ratios:,Fare Revenues per Unlinked Passenger Trip ,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,"Cost per
 Hour",Cost per Hour Questionable,Passengers per Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Source Data:,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Any data questionable?,,,,0,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,885",HR,DO,"5,413",,$1.34 ,,0.70 ,,$267.97 ,,139.6 ,,$1.92 ,,$0.50 ,,,"$3,643,213,720 ",,"$5,206,727,193 ",,"2,712,521,697 ",,"19,430,373 ",,"10,462,782,577 ",,"354,616,371 ",,No,,,,Hide questionable data tags,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,885",CB,DO,437,,$6.66 ,,0.32 ,,$393.55 ,,18.6 ,,$21.13 ,,$1.58 ,,,"$76,398,352 ",,"$242,520,835 ",,"11,477,164 ",,"616,233 ",,"153,389,117 ",,"9,866,807 ",,No,,,,Show questionable data tags,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,885",MB,DO,"3,262",,$1.22 ,,0.32 ,,$219.87 ,,56.6 ,,$3.88 ,,$1.82 ,,,"$846,111,742 ",,"$2,685,918,268 ",,"691,616,614 ",,"12,215,926 ",,"1,478,429,570 ",,"86,233,591 ",,No,,2,,2,,2
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,885",DR,PT,"1,627",,$2.03 ,,0.02 ,,$129.45 ,,1.2 ,,$106.96 ,,$11.92 ,,,"$9,781,667 ",,"$516,470,491 ",,"4,828,423 ",,"3,989,579 ",,"43,330,163 ",,"37,759,280 ",,No,,,,,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 ","10,885",RB,DO,146,,$1.06 ,,0.32 ,,$199.16 ,,59.3 ,,$3.36 ,,$1.81 ,,,"$32,469,300 ",,"$103,071,355 ",,"30,695,695 ",,"517,519 ",,"57,076,245 ",,"3,382,426 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,645",CR,DO,923,,$6.33 ,,0.55 ,,$570.25 ,,49.8 ,,$11.44 ,,$0.51 ,,,"$566,604,397 ",,"$1,024,848,749 ",,"89,562,931 ",,"1,797,179 ",,"2,006,197,776 ",,"58,567,859 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,645",DR,PT,427,,$2.15 ,,0.03 ,,$109.76 ,,1.6 ,,$67.02 ,,$10.67 ,,,"$3,676,854 ",,"$114,692,919 ",,"1,711,304 ",,"1,044,989 ",,"10,750,959 ",,"16,718,421 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,645",LR,PT,42,,$0.96 ,,0.15 ,,$787.59 ,,126.8 ,,$6.21 ,,$1.64 ,,,"$15,489,706 ",,"$100,196,881 ",,"16,132,963 ",,"127,219 ",,"61,258,605 ",,"2,106,129 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,645",MB,DO,"1,871",,$2.66 ,,0.42 ,,$172.00 ,,27.1 ,,$6.34 ,,$0.92 ,,,"$375,583,737 ",,"$895,095,763 ",,"141,247,365 ",,"5,203,906 ",,"975,132,912 ",,"73,406,127 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,645",MB,PT,181,,$0.93 ,,0.15 ,,$106.50 ,,16.8 ,,$6.36 ,,$1.48 ,,,"$9,155,061 ",,"$62,422,237 ",,"9,818,212 ",,"586,110 ",,"42,195,890 ",,"7,048,139 ",,No,,,,,,
