"PUMA.ID","NAME","Mode to work= All","MOE (BO8301_001)","Mode to work= Car","MOE (B08301_002)","Mode to work= Public Transport (ALL)","MOE (B08301_010)","Mode to work= Bus","MOE (B08301_011)","Mode to work= Subway/Elevated Rail","MOE (B08301_012)","Mode to work= Commuter Rail","MOE (B08301_013)","Mode to work= Light Rail","MOE (B08301_014)","Mode to work= Ferry","MOE (B08301_015)","Mode to work= Taxicab","MOE (B08301_016)","Mode to work= Motorcycle","MOE (B08301_017)","Mode to work= Bicycle","MOE (B08301_018)","Mode to work= Walk","MOE (B08301_019)","Mode to work= Other","MOE (B08301_020)","Race= All","MOE (B02001_001)","Race= White","MOE (B02001_002)","Race= Black","MOE (B02001_003)","Race= American Indian/Alaskan Native","MOE (B02001_004)","Race= Asian","MOE (B02001_005)","Race= Hawiian/Pacific Islander","MOE (B02001_006)","Race= Other","MOE (B02001_007)","Race= Two Or More","MOE (B02001_008)","Median Age","MOE (B01002_001)","Median Household Income","MOE (B19013_001)","YEAR","STATE","LIGHT_RAIL_EXISTS"
"0400101","PUMA 00101, Arizona",28189,1040,25084,984,55,34,55,34,0,132,0,132,0,132,0,132,0,132,58,38,82,44,461,126,477,124,114427,2103,105675,1875,1702,447,301,146,1052,248,220,187,3812,688,1665,372,66.1,0.5,44608,1024,2009,"AZ",FALSE
"0400102","PUMA 00102, Arizona",68905,1443,63497,1504,434,133,434,133,0,132,0,132,0,132,0,132,153,109,425,116,353,188,536,185,355,123,147979,1487,123918,2271,4587,1012,1236,433,4182,701,175,188,9775,1437,4106,717,35.7,0.8,65722,1433,2009,"AZ",FALSE
"0400103","PUMA 00103, Arizona",116113,2315,103989,2398,2638,573,2638,573,0,132,0,132,0,132,0,132,0,132,631,194,615,247,1761,445,785,245,230844,3602,191485,4131,6925,1207,4248,1006,7375,1028,350,215,14171,1552,6290,936,33.9,0.5,61024,1420,2009,"AZ",FALSE
"0400104","PUMA 00104, Arizona",110263,2087,97175,2025,2387,390,2359,396,0,132,28,32,0,132,0,132,9,14,435,139,319,165,1562,311,1192,338,207140,2653,182231,2974,4146,926,1872,768,6351,973,784,540,8910,1275,2846,442,36.2,0.5,62777,1542,2009,"AZ",FALSE
"0400105","PUMA 00105, Arizona",87782,1701,75164,1742,625,189,506,174,0,132,119,95,0,132,0,132,72,63,138,76,289,180,1419,455,989,249,184259,1922,170441,2033,2724,801,608,359,6572,975,68,65,1710,454,2136,480,45.8,0.6,87555,2582,2009,"AZ",FALSE
"0400106","PUMA 00106, Arizona",51649,1269,44786,1400,1094,327,1074,327,0,132,0,132,20,33,0,132,64,94,56,40,888,322,958,239,567,191,104714,2034,90833,1838,1599,485,5959,964,1332,370,93,101,3460,998,1438,356,41.9,1.2,53382,1636,2009,"AZ",FALSE
"0400107","PUMA 00107, Arizona",79432,1857,70459,1679,2212,499,2187,497,0,132,25,31,0,132,0,132,0,132,474,166,552,181,910,250,909,270,152235,3018,130173,2822,5229,900,1743,682,4845,777,105,149,7631,1629,2509,483,37.9,0.8,56786,1330,2009,"AZ",FALSE
"0400108","PUMA 00108, Arizona",60273,1635,54476,1526,1324,361,1312,360,12,20,0,132,0,132,0,132,52,62,227,84,155,120,1055,295,256,117,123912,2171,103594,2409,4396,932,1552,480,5029,663,36,50,5688,1082,3617,695,36.4,0.8,61463,1607,2009,"AZ",FALSE
"0400109","PUMA 00109, Arizona",71627,1924,64545,1934,1758,373,1758,373,0,132,0,132,0,132,0,132,80,57,341,155,423,155,1178,284,1135,598,170753,2956,118766,3499,12555,1407,2533,722,4006,819,382,230,27001,2301,5510,877,27.8,0.4,46316,1374,2009,"AZ",FALSE
"0400110","PUMA 00110, Arizona",123147,2150,112963,2311,739,236,727,237,0,132,0,132,0,132,12,18,6,10,666,206,374,144,1801,377,1197,409,283456,2460,208630,3892,18583,2194,6126,1065,7651,1203,673,377,33491,2823,8302,931,29.6,0.4,64568,1293,2009,"AZ",FALSE
