"PUMA.ID","NAME","Mode to work= All","MOE (BO8301_001)","Mode to work= Car","MOE (B08301_002)","Mode to work= Public Transport (ALL)","MOE (B08301_010)","Mode to work= Bus","MOE (B08301_011)","Mode to work= Subway/Elevated Rail","MOE (B08301_012)","Mode to work= Commuter Rail","MOE (B08301_013)","Mode to work= Light Rail","MOE (B08301_014)","Mode to work= Ferry","MOE (B08301_015)","Mode to work= Taxicab","MOE (B08301_016)","Mode to work= Motorcycle","MOE (B08301_017)","Mode to work= Bicycle","MOE (B08301_018)","Mode to work= Walk","MOE (B08301_019)","Mode to work= Other","MOE (B08301_020)","Race= All","MOE (B02001_001)","Race= White","MOE (B02001_002)","Race= Black","MOE (B02001_003)","Race= American Indian/Alaskan Native","MOE (B02001_004)","Race= Asian","MOE (B02001_005)","Race= Hawiian/Pacific Islander","MOE (B02001_006)","Race= Other","MOE (B02001_007)","Race= Two Or More","MOE (B02001_008)","Median Age","MOE (B01002_001)","Median Household Income","MOE (B19013_001)","YEAR","STATE","LIGHT_RAIL_EXISTS"
"3700100","PUMA 00100, North Carolina",78613,1480,73499,1532,123,83,113,80,0,127,10,17,0,127,0,127,0,127,192,122,89,56,1652,345,380,148,183207,0,166170,466,2549,398,8455,455,848,124,148,128,2394,399,2643,409,44,0.3,37194,939,2009,"NC",FALSE
"3700201","PUMA 00201, North Carolina",61671,1585,56418,1507,63,58,52,56,11,17,0,127,0,127,0,127,15,24,136,94,181,130,1471,588,179,85,133772,1501,126022,1464,3572,712,393,169,1030,210,28,36,1019,330,1708,309,41.1,0.6,44400,1276,2009,"NC",FALSE
"3700202","PUMA 00202, North Carolina",53596,1407,47426,1420,851,237,832,239,10,15,9,15,0,127,0,127,73,58,232,173,353,116,1230,254,349,113,112407,1507,94090,1482,12462,764,415,200,1225,313,97,65,1571,448,2547,446,39.7,0.7,41998,1524,2009,"NC",FALSE
"3700300","PUMA 00300, North Carolina",54074,1173,50144,1283,36,39,36,39,0,127,0,127,0,127,0,127,0,127,291,140,111,84,832,232,308,152,130136,78,116861,674,4707,258,417,188,984,88,9,15,5148,731,2010,474,45.4,0.2,43639,1584,2009,"NC",FALSE
"3700400","PUMA 00400, North Carolina",91303,1193,86040,1268,150,79,140,78,0,127,0,127,10,16,0,127,24,28,94,59,50,48,1444,286,920,279,224380,58,188055,534,29766,423,572,129,1591,123,18,29,2283,644,2095,367,40.7,0.3,36930,907,2009,"NC",FALSE
"3700500","PUMA 00500, North Carolina",55168,1065,50451,1034,254,134,254,134,0,127,0,127,0,127,0,127,4,9,38,36,47,55,2191,354,189,91,122032,0,116255,351,1302,200,369,143,760,193,119,135,1393,315,1834,232,39.5,0.3,34408,1104,2009,"NC",FALSE
"3700600","PUMA 00600, North Carolina",64683,1004,61035,1051,201,97,201,97,0,127,0,127,0,127,0,127,16,25,88,69,0,127,903,260,344,150,149634,0,135846,1683,5547,344,470,89,895,64,39,48,4919,1606,1918,394,40.8,0.4,35090,1018,2009,"NC",FALSE
"3700700","PUMA 00700, North Carolina",71257,1032,67457,1033,97,69,85,69,0,127,12,19,0,127,0,127,25,30,130,65,113,99,762,295,665,211,155157,0,127486,823,12504,402,504,205,4577,239,12,19,7120,824,2954,512,38.5,0.3,43303,1284,2009,"NC",FALSE
"3700800","PUMA 00800, North Carolina",87653,1333,83068,1277,192,152,136,104,0,127,0,127,0,127,56,103,10,16,148,109,100,75,910,213,602,167,204647,0,179718,577,11788,285,660,143,4028,214,189,151,5904,591,2360,385,40,0.3,37356,1149,2009,"NC",FALSE
"3700901","PUMA 00901, North Carolina",54733,1382,49038,1404,2501,413,2130,382,20,32,319,138,32,32,0,127,93,49,61,70,74,50,924,259,355,145,103723,2165,61045,1938,32402,1888,359,170,3564,639,27,43,3264,813,3062,674,32.8,0.7,45931,1517,2009,"NC",FALSE
"3700902","PUMA 00902, North Carolina",51571,1370,45896,1239,2858,484,2847,483,11,18,0,127,0,127,0,127,71,60,33,38,40,47,655,244,462,154,113233,2797,31699,1661,69741,2197,709,253,3339,620,0,127,5638,1226,2107,514,32.5,0.5,39766,1506,2009,"NC",FALSE
"3700903","PUMA 00903, North Carolina",60118,1694,53618,1550,2142,457,2129,457,13,20,0,127,0,127,0,127,136,148,44,41,46,43,1676,364,456,180,116192,2680,49938,2119,48104,2109,373,188,5995,757,72,92,8662,1526,3048,518,29.2,0.6,46846,1848,2009,"NC",FALSE
"3700904","PUMA 00904, North Carolina",51573,1450,43507,1265,3187,480,3136,468,31,38,20,33,0,127,0,127,42,56,27,25,150,88,2234,379,262,113,95524,1951,50511,1716,33499,1530,567,170,2720,437,65,85,6640,1181,1522,305,32.9,0.6,41709,1520,2009,"NC",FALSE
