"Selected Geographies","Total","Not in universe - missing","Car/truck/van","Bus or trolley bus","Streetcar or trolley car","Subway or elevated","Railroad","Ferry boat","Taxicab","Motorcycle","Bicycle","Walked","Worked At Home","Other"
" -> Total","15862519","9138254","6024053","93526","2738","2943","856","432","9972","22412","36605","127655","342262","60811"
"PUMA 00101, Arizona","144721","111195","27879","0","0","0","0","0","0","0","0","684","3474","1489"
"PUMA 00102, Arizona","149359","79384","65111","318","0","0","0","0","0","460","191","255","3584","56"
"PUMA 00103, Arizona","239381","125950","99902","2637","0","0","0","0","0","1273","218","1094","7518","789"
"PUMA 00104, Arizona","222980","107560","99529","1893","0","0","0","0","0","242","384","2154","9619","1599"
"PUMA 00105, Arizona","180568","97521","69353","0","0","213","0","0","0","149","417","508","11078","1329"
"PUMA 00106, Arizona","105024","52671","44308","797","0","0","0","0","0","206","1434","305","4348","955"
"PUMA 00107, Arizona","145016","75962","59403","2268","0","0","0","0","0","723","0","1209","4798","653"
"PUMA 00108, Arizona","114820","59437","49750","1126","0","0","0","0","0","559","677","815","2260","196"
"PUMA 00109, Arizona","168730","94446","66135","3187","0","0","0","0","0","1091","478","1235","1317","841"
"PUMA 00110, Arizona","338182","203524","123380","85","0","0","0","0","0","1558","471","1497","6209","1458"
"PUMA 00111, Arizona","190877","119524","62987","4421","54","49","0","0","42","120","263","1239","1045","1133"
"PUMA 00112, Arizona","164143","99116","51065","4857","455","399","0","0","22","0","686","3213","2604","1726"
"PUMA 00113, Arizona","99749","49419","43443","1612","137","0","0","0","248","0","778","1074","2590","448"
"PUMA 00114, Arizona","202545","121122","72719","647","0","98","0","0","0","392","416","1442","5168","541"
"PUMA 00115, Arizona","151287","82547","57363","3115","221","0","67","0","0","257","1472","3220","2389","636"
"PUMA 00116, Arizona","167325","84382","67023","1422","740","0","0","0","48","759","3072","3697","5571","611"
"PUMA 00117, Arizona","132199","84768","37793","3729","89","211","0","0","0","0","1164","1606","2299","540"
"PUMA 00118, Arizona","171602","110377","56008","1626","28","0","0","0","0","104","653","695","1722","389"
"PUMA 00119, Arizona","151840","78044","65978","828","55","0","0","0","0","92","361","1650","4530","302"
"PUMA 00120, Arizona","256721","129137","113344","1213","0","0","0","0","52","142","983","890","8913","2047"
"PUMA 00121, Arizona","246830","134413","99285","340","0","107","0","0","63","1142","506","868","9574","532"
"PUMA 00122, Arizona","137849","80472","52625","439","0","0","0","0","0","567","646","592","1552","956"
"PUMA 00201, Arizona","129777","81447","38021","1653","0","0","0","0","60","41","2048","2107","2564","1836"
"PUMA 00202, Arizona","110327","63646","38205","1971","0","0","0","0","0","0","2240","2047","1885","333"
"PUMA 00203, Arizona","104052","56947","41595","265","0","0","0","0","0","353","143","839","3612","298"
"PUMA 00204, Arizona","142012","81982","49941","3075","0","0","0","0","263","553","1423","1762","2080","933"
"PUMA 00205, Arizona","123476","69500","48622","75","0","0","0","0","0","307","53","572","3964","383"
