Selected Geographies,Total,Not in universe - missing,Car/truck/van,Bus or trolley bus,Streetcar or trolley car,Subway or elevated,Railroad,Ferry boat,Taxicab,Motorcycle,Bicycle,Walked,Worked At Home,Other
"Maricopa County--Mesa City (West) PUMA, Arizona",107384,57220,44132,1659,161,0,54,0,0,324,875,573,1636,750
"Maricopa County--Mesa City (South Central) PUMA, Arizona",107365,64151,37327,1354,0,112,0,0,52,503,993,443,1154,1276
"Maricopa County--Tempe City (North) PUMA, Arizona",104302,48075,42635,2506,74,502,0,0,0,610,3396,2275,3730,499
"Phoenix City (Uptown) PUMA, Arizona",108678,61189,40369,2570,112,208,202,0,128,0,353,630,2179,738
"Phoenix City--Downtown & Sky Harbor International Airport PUMA, Arizona",106232,59787,37048,2912,415,0,285,0,32,0,664,1492,2197,1400
"Charlotte City (Central) PUMA, North Carolina",114411,52884,48521,3552,61,82,0,175,0,121,157,4979,3345,534
"Charlotte City (Northwest) PUMA, North Carolina",115809,68056,43246,2373,0,0,0,0,0,53,112,418,1108,443
"Charlotte City (Northeast) PUMA, North Carolina",117165,60777,47355,2993,0,0,0,0,147,0,94,1289,3648,862
"Charlotte City (South) PUMA, North Carolina",141245,70962,58725,962,0,123,78,0,0,0,369,1483,7937,606
"Charlotte City (Southwest) PUMA, North Carolina",112634,55382,45076,3731,333,1063,148,0,0,346,0,994,4003,1558
"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns PUMA; North Carolina",141977,72626,59445,1563,0,0,0,0,0,0,63,839,6662,779
"Mecklenburg County (East)--Mint Hill & Matthews (North) Towns PUMA, North Carolina",118463,56130,57309,492,0,0,0,0,0,53,115,102,3395,867
"Mecklenburg County (South)--Matthews Town (South) PUMA, North Carolina",108090,54516,46776,513,252,138,0,0,0,89,0,71,5167,568
