"add","file","PRECTOT","PRECSNO","QSH","RHOA","SPEED","TLML","year","month","date"
"Asheville, NC","200001.nc4",4.82546347484458e-05,2.79558626061771e-05,0.00372578739188612,1.18539023399353,5.97368478775024,273.996765136719,"2000","01",2000-01-01
"Asheville, NC","200002.nc4",2.66911738435738e-05,4.88278692500899e-06,0.00464152917265892,1.16930985450745,5.39071798324585,278.152587890625,"2000","02",2000-02-01
"Asheville, NC","200003.nc4",5.91859788983129e-05,1.89413327689181e-07,0.00602358113974333,1.14389252662659,5.26938772201538,282.966094970703,"2000","03",2000-03-01
"Asheville, NC","200004.nc4",5.46664923604112e-05,1.18074535748747e-06,0.00690142810344696,1.13666427135468,5.42794370651245,284.108123779297,"2000","04",2000-04-01
"Asheville, NC","200005.nc4",2.36933719861554e-05,0,0.0102569963783026,1.10856711864471,4.52796792984009,291.439178466797,"2000","05",2000-05-01
"Asheville, NC","200006.nc4",2.1891450160183e-05,0,0.0116831259801984,1.09716522693634,3.64687037467957,295.054656982422,"2000","06",2000-06-01
"Asheville, NC","200007.nc4",6.89957159920596e-05,0,0.0122903427109122,1.09143340587616,3.57900643348694,295.641876220703,"2000","07",2000-07-01
"Asheville, NC","200008.nc4",2.68246494670166e-05,0,0.0120283579453826,1.09566915035248,3.71176648139954,295.200561523438,"2000","08",2000-08-01
"Asheville, NC","200009.nc4",3.25246182910632e-05,0,0.0104527976363897,1.10932469367981,3.99801802635193,291.424499511719,"2000","09",2000-09-01
"Asheville, NC","200010.nc4",5.34913624505862e-07,1.52112700213536e-09,0.0061199739575386,1.12928199768066,3.96033382415771,288.337615966797,"2000","10",2000-10-01
"Asheville, NC","200011.nc4",2.38376815104857e-05,7.15545456841937e-06,0.00493583735078573,1.15777289867401,4.68063688278198,279.812408447266,"2000","11",2000-11-01
"Asheville, NC","200012.nc4",1.57211943587754e-05,5.99398663325701e-06,0.00288066640496254,1.19593119621277,4.78227567672729,271.761138916016,"2000","12",2000-12-01
"Asheville, NC","200101.nc4",3.52111928805243e-05,5.91950947637088e-06,0.00348205864429474,1.18208909034729,5.22596883773804,274.359680175781,"2001","01",2001-01-01
"Asheville, NC","200102.nc4",3.54476251231972e-05,1.0313444363419e-05,0.00494013354182243,1.16645753383636,5.24093437194824,278.800598144531,"2001","02",2001-02-01
