"ID","LR","bus","cars","oth","rail","NA","total","year","State","Name","Urbanized.Area","share_light","share_rail","share_bus","share_cars","share_oth"
1,398.6,98250.2,1689,1750.7,0,0,102088.5,2004,NA,NA,NA,0.00390445544796916,0,0.962402229438184,0.0165444687697439,0.0171488463441034
8,31516.2,65938.5,0,958.2,0,0,98412.9,2004,NA,NA,NA,0.320244602079605,0,0.670018869477477,0,0.00973652844291755
40,794.6,0,0,0,955.3,0,1749.9,2004,NA,NA,NA,0.454083090462312,0.545916909537688,0,0,0
1003,70558.1,119262,0,2621.9,197468.2,0,389910.2,2004,NA,NA,NA,0.180959872298801,0.506445330232448,0.305870428626899,0,0.00672436884185128
2004,5478,17590.5,0,65.9,0,0,23134.4,2004,NA,NA,NA,0.236790234456048,0,0.760361193720174,0,0.00284857182377758
2080,9868.9,149619.6,610.2,994.8,68794.2,0,229887.7,2004,NA,NA,NA,0.0429292215285985,0.29925133010596,0.650837778619735,0.00265433948836758,0.00432733025733869
3019,25158.1,187530,0,1634.5,118367.7,0,332690.3,2004,NA,NA,NA,0.0756201788870911,0.355789453434621,0.563677390053151,0,0.00491297762513665
3022,6654.6,58297.8,0,1068.8,0,0,66021.2,2004,NA,NA,NA,0.100794896184862,0,0.883016364440513,0,0.0161887393746251
3034,6067.1,86818.8,0,623.3,19124.9,0,112634.1,2004,NA,NA,NA,0.0538655700183159,0.169796713428704,0.770803868455468,0,0.00553384809751221
4003,982.5,11452.2,0,244.7,0,0,12679.4,2004,NA,NA,NA,0.0774878937489156,0,0.903213085792703,0,0.0192990204583813
4041,519.6,9818.6,33.1,40.2,0,0,10411.5,2004,NA,NA,NA,0.0499063535513615,0,0.943053354463814,0.00317917687172838,0.0038611151130961
5003,58.9,1591.3,0,17.1,0,0,1667.3,2004,NA,NA,NA,0.0353265759011576,0,0.954417321417861,0,0.0102561026809812
5015,2560.7,47631.2,0,393.5,7282.8,0,57868.2,2004,NA,NA,NA,0.0442505555728362,0.125851503934804,0.823098005467597,0,0.00679993502476317
5027,2938.8,53962.7,0,0,0,0,56901.5,2004,NA,NA,NA,0.0516471446271188,0,0.948352855372881,0,0
6008,5349.7,87940.5,1088.8,1502.6,0,0,95881.6,2004,NA,NA,NA,0.0557948553215633,0,0.917178061275573,0.0113556719954611,0.0156714114074025
6015,40.6,939.7,0,29.7,0,0,1010,2004,NA,NA,NA,0.0401980198019802,0,0.93039603960396,0,0.0294059405940594
6032,8919.7,38202.4,0,374.3,0,0,47496.4,2004,NA,NA,NA,0.187797390960157,0,0.804322011773524,0,0.00788059726631913
