"add","day","month","year","pm25_highway","pm25_city"
"Charlotte, NC",1,1,2000,47.0992685305844,45.4786642276175
"Charlotte, NC",1,1,2001,15.9238767927619,16.1515172671496
"Charlotte, NC",1,1,2002,12.7230564348257,12.9347302235239
"Charlotte, NC",1,1,2003,5.02351259729665,4.89077489938193
"Charlotte, NC",1,1,2004,21.5656581076847,22.3875370568376
"Charlotte, NC",1,1,2005,23.196929227015,22.7793805502295
"Charlotte, NC",1,1,2006,14.4434852053405,14.6340013442001
"Charlotte, NC",1,1,2007,4.0133033983267,3.77352426885589
"Charlotte, NC",1,1,2008,8.76250465964056,8.89319975783185
"Charlotte, NC",1,1,2009,6.48789433461086,6.73583002400592
"Charlotte, NC",1,1,2010,8.95406613380286,8.97409045405504
"Charlotte, NC",1,1,2011,20.3890230822715,21.0887656560758
"Charlotte, NC",1,1,2012,17.4279107257819,18.8287320292093
"Charlotte, NC",1,1,2013,11.1652321542145,11.3855044667314
"Charlotte, NC",1,1,2014,11.1843143724332,11.6026179422208
"Charlotte, NC",1,1,2015,16.9626177101378,16.9863123932505
"Charlotte, NC",1,1,2016,5.86120932269248,5.93984689751292
"Charlotte, NC",1,10,2000,12.8258572292935,12.7211852422575
"Charlotte, NC",1,10,2001,10.4355138973066,10.5828020359442
"Charlotte, NC",1,10,2002,19.1048831210774,18.9354282162054
"Charlotte, NC",1,10,2003,18.7689915189318,18.4725552690708
"Charlotte, NC",1,10,2004,31.6653714271108,31.2868379809992
"Charlotte, NC",1,10,2005,15.9349400769373,15.7854576382211
"Charlotte, NC",1,10,2006,14.7266216095845,14.8793305652898
"Charlotte, NC",1,10,2007,6.01956245398066,5.97707966478859
"Charlotte, NC",1,10,2008,11.435866118996,11.2854660313304
"Charlotte, NC",1,10,2009,8.21199283478366,8.30632460020422
"Charlotte, NC",1,10,2010,7.39321124933328,7.65457001546534
"Charlotte, NC",1,10,2011,2.83443108637621,2.60196252567012
"Charlotte, NC",1,10,2012,8.05799798904711,8.1389295182577
"Charlotte, NC",1,10,2013,11.5392496631404,11.9628787157012
"Charlotte, NC",1,10,2014,12.9919150710865,12.9562570409077
"Charlotte, NC",1,10,2015,2.65811452971902,2.33868416877297
"Charlotte, NC",1,10,2016,8.09750897109888,8.1418871705125
"Charlotte, NC",1,11,2000,24.4574461165507,24.3791160040755
"Charlotte, NC",1,11,2001,24.0911094519743,24.5264860323774
"Charlotte, NC",1,11,2002,11.3340748586472,11.2338611052288
"Charlotte, NC",1,11,2003,20.9524967533768,21.3809506641171
"Charlotte, NC",1,11,2004,21.7745714855802,21.8331424821683
"Charlotte, NC",1,11,2005,18.5160513470887,18.5008831179239
"Charlotte, NC",1,11,2006,17.3487919728467,17.6777518822895
"Charlotte, NC",1,11,2007,11.7354153068202,11.7538148678415
"Charlotte, NC",1,11,2008,15.0896673688463,15.1906814536428
"Charlotte, NC",1,11,2009,2.55130599258812,2.44948935702564
"Charlotte, NC",1,11,2010,9.77433146944471,10.086655845487
"Charlotte, NC",1,11,2011,9.90390916083269,9.81965123928659
"Charlotte, NC",1,11,2012,5.56172041984121,5.5663474207002
"Charlotte, NC",1,11,2013,5.49624659301369,5.68532136203797
"Charlotte, NC",1,11,2014,3.03249125571767,3.01563896008623
"Charlotte, NC",1,11,2015,12.3964556736551,12.644816759156
"Charlotte, NC",1,11,2016,13.1288792069551,13.2347732288081
"Charlotte, NC",1,12,2000,16.6428278479606,16.6316441287839
"Charlotte, NC",1,12,2001,14.0123563511356,14.1158137709145
"Charlotte, NC",1,12,2002,10.660946924975,10.5941716325961
"Charlotte, NC",1,12,2003,6.8841893688129,6.93282566613298
"Charlotte, NC",1,12,2004,6.10529090188871,6.28697879915315
"Charlotte, NC",1,12,2005,12.1938561967983,12.1240262326186
"Charlotte, NC",1,12,2006,4.11036289877193,4.10157515459914
"Charlotte, NC",1,12,2007,9.02053823288839,9.20761820552795
"Charlotte, NC",1,12,2008,6.46803780573948,6.60223613715753
"Charlotte, NC",1,12,2009,7.18777766501068,7.2745358905172
"Charlotte, NC",1,12,2010,4.57616658119639,4.57564374004922
"Charlotte, NC",1,12,2011,6.96524831443835,6.89537140799732
"Charlotte, NC",1,12,2012,16.3218767384815,16.7995295679666
"Charlotte, NC",1,12,2013,17.3355294792515,17.9663495319646
"Charlotte, NC",1,12,2014,8.15974974480404,8.20384707877306
"Charlotte, NC",1,12,2015,4.89079176848102,5.12434217600318
"Charlotte, NC",1,12,2016,7.94451413184974,8.23466059638233
"Charlotte, NC",1,2,2000,21.7465089688635,22.0008040947643
"Charlotte, NC",1,2,2001,9.69965217979091,9.72245382293453
"Charlotte, NC",1,2,2002,7.24456161450429,7.11322100375726
"Charlotte, NC",1,2,2003,11.233330750921,11.4687496123275
"Charlotte, NC",1,2,2004,12.8150316165511,12.8021445196819
"Charlotte, NC",1,2,2005,16.5495493822037,16.466003146598
"Charlotte, NC",1,2,2006,17.9903130257965,18.4322614979938
"Charlotte, NC",1,2,2007,14.8778257977431,15.0963450292262
"Charlotte, NC",1,2,2008,5.18515516086748,5.32949059184005
"Charlotte, NC",1,2,2009,8.99635753510105,9.0772676700499
"Charlotte, NC",1,2,2010,17.7303232265885,18.2775538025833
"Charlotte, NC",1,2,2011,25.7137637776174,25.8802850537184
"Charlotte, NC",1,2,2012,18.4693189001387,18.6270457322035
"Charlotte, NC",1,2,2013,3.56401890554246,3.58813220601741
"Charlotte, NC",1,2,2014,17.2131849519766,17.4562302139716
"Charlotte, NC",1,2,2015,10.7885055481249,11.022998689636
"Charlotte, NC",1,2,2016,9.48949247105107,9.19403117265159
"Charlotte, NC",1,3,2000,18.4064452906323,18.3154329749627
"Charlotte, NC",1,3,2001,13.650979461184,13.9863000497585
"Charlotte, NC",1,3,2002,17.1310244214003,17.0659683390362
"Charlotte, NC",1,3,2003,20.5775701802248,20.8602839136511
"Charlotte, NC",1,3,2004,12.7048626796455,12.6933650582786
"Charlotte, NC",1,3,2005,5.71512638079892,5.67187367028337
"Charlotte, NC",1,3,2006,16.7149406906905,16.824814257583
"Charlotte, NC",1,3,2007,13.5086673687977,13.5263777787123
"Charlotte, NC",1,3,2008,9.13297668384139,9.22371183178289
"Charlotte, NC",1,3,2009,2.79453774166715,2.61356906483813
"Charlotte, NC",1,3,2010,8.84183151099332,8.90746792545164
"Charlotte, NC",1,3,2011,5.25857229293532,5.16222142591709
"Charlotte, NC",1,3,2012,6.53754007132949,6.65468075798779
"Charlotte, NC",1,3,2013,6.98480643436408,7.16017103582863
"Charlotte, NC",1,3,2014,15.8352317627828,16.0978869849104
"Charlotte, NC",1,3,2015,14.9094723258049,14.9176166425876
"Charlotte, NC",1,3,2016,14.1018059359994,13.8677628951344
"Charlotte, NC",1,4,2000,20.1893980062691,20.2446025057537
"Charlotte, NC",1,4,2001,7.22823301849851,7.17585640224984
"Charlotte, NC",1,4,2002,8.1439571714705,8.0972537878083
"Charlotte, NC",1,4,2003,11.7915140382803,12.0125046978152
"Charlotte, NC",1,4,2004,6.93259099182809,6.90928879792128
"Charlotte, NC",1,4,2005,14.0384382624535,14.0345435336353
"Charlotte, NC",1,4,2006,13.6542624212374,13.7984637477534
"Charlotte, NC",1,4,2007,9.34942796427733,9.28178927568885
"Charlotte, NC",1,4,2008,7.23108649405704,7.31852116623545
"Charlotte, NC",1,4,2009,10.7751816609863,10.7620755831401
"Charlotte, NC",1,4,2010,11.0172364483973,11.0360526224462
"Charlotte, NC",1,4,2011,7.88456472166025,7.84385455139284
"Charlotte, NC",1,4,2012,10.4580629616027,10.5292511374001
"Charlotte, NC",1,4,2013,7.01896046681009,7.28584677998613
"Charlotte, NC",1,4,2014,10.5496627479602,10.8023066598225
"Charlotte, NC",1,4,2015,8.40879435144412,8.43046452359455
"Charlotte, NC",1,4,2016,4.79468098415691,4.74816676077804
"Charlotte, NC",1,5,2000,21.5772034104463,21.8419356695036
"Charlotte, NC",1,5,2001,22.7315829574682,22.8614906605666
"Charlotte, NC",1,5,2002,10.1779091950435,10.0103251837133
"Charlotte, NC",1,5,2003,10.2083719399325,10.0615446315548
"Charlotte, NC",1,5,2004,7.59222437621682,7.60054434411894
"Charlotte, NC",1,5,2005,7.32912819552573,7.18366556438973
"Charlotte, NC",1,5,2006,7.96074344246251,7.80899711353023
"Charlotte, NC",1,5,2007,13.34741490358,13.163815230858
"Charlotte, NC",1,5,2008,13.2487063559757,13.2729219382371
