"Urbanized.Area","year","pop","bus","LR","rail","cars","oth","total","share_light","share_rail","share_bus","share_oth","share_cars"
"Asheville, NC",2000,74220,1132.3,0,0,0,26.7,1159,0,0,0.976962899050906,0.023037100949094,0
"Asheville, NC",2001,74725,1195.7,0,0,0,23.6,1219.3,0,0,0.980644632165997,0.0193553678340031,0
"Asheville, NC",2002,75499,1009.2,0,0,0,22.6,1031.8,0,0,0.978096530335336,0.0219034696646637,0
"Asheville, NC",2003,76452,998.3,0,0,0,21.1,1019.4,0,0,0.979301549931332,0.0206984500686678,0
"Asheville, NC",2004,77388,1055.3,0,0,0,22.6,1077.9,0,0,0.979033305501438,0.020966694498562,0
"Asheville, NC",2005,78404,1059.3,0,0,0,24.1,1083.4,0,0,0.977755215063688,0.0222447849363116,0
"Asheville, NC",2006,79932,1149.3,0,0,0,24.2,1173.5,0,0,0.97937792927141,0.0206220707285897,0
"Asheville, NC",2007,81232,1486.5,0,0,0,23.2,1509.7,0,0,0.98463270848513,0.0153672915148705,0
"Asheville, NC",2008,82094,1489.1,0,0,0,25.3,1514.4,0,0,0.983293713681986,0.0167062863180137,0
"Asheville, NC",2009,82847,1622.5,0,0,0,27.9,1650.4,0,0,0.983095007270965,0.0169049927290354,0
"Asheville, NC",2010,83407,1538.6,0,0,0,25,1563.6,0,0,0.984011256075723,0.0159887439242773,0
"Asheville, NC",2010,83569,1538.6,0,0,0,25,1563.6,0,0,0.984011256075723,0.0159887439242773,0
"Asheville, NC",2011,84417,1467.3,0,0,0,26,1493.3,0,0,0.982588897073595,0.0174111029264046,0
"Asheville, NC",2012,85302,1524.3,0,0,0,25.5,1549.8,0,0,0.983546264034069,0.0164537359659311,0
"Austin, TX",2000,675775,37506.3,0,0,244,377.4,38127.7,0,0,0.983702137815814,0.00989831539799149,0.00639954678619481
"Austin, TX",2001,691119,33360.1,0,0,267.8,358.7,33986.6,0,0,0.981566264351244,0.0105541595805406,0.00787957606821512
"Austin, TX",2002,688644,34922.4,0,0,259,386.6,35568,0,0,0.981848852901484,0.0108693207377418,0.00728182636077373
"Austin, TX",2003,690293,36593.3,0,0,240,390.5,37223.8,0,0,0.983061912002536,0.0104906000999361,0.00644748789752793
"Austin, TX",2004,696973,35062.6,0,0,242.4,407.2,35712.2,0,0,0.981810137712042,0.0114022658923281,0.00678759639562951
"Austin, TX",2005,708423,32476.2,0,0,286.3,432.2,33194.7,0,0,0.978354978354978,0.0130201508072072,0.00862487083781447
"Austin, TX",2006,730373,34464.1,0,0,335.3,583,35382.4,0,0,0.974046418558379,0.0164771185674234,0.00947646287419734
"Austin, TX",2007,749641,33040.7,0,0,324.4,674.6,34039.7,0,0,0.970651915263648,0.0198180359991422,0.00953004873720979
"Austin, TX",2008,764945,36339.1,0,0,345.6,714.6,37399.3,0,0,0.971651875837248,0.0191073094950975,0.00924081466765421
"Austin, TX",2009,780172,38417.5,0,0,318.3,702.9,39438.7,0,0,0.974106651588414,0.0178225955723693,0.0080707528392163
"Austin, TX",2010,795526,34814.3,0,120.8,447.9,476.5,35859.5,0,0.00336870285419484,0.970852912059566,0.0132879711094689,0.0124904139767705
"Austin, TX",2010,806214,34814.3,0,120.8,447.9,476.5,35859.5,0,0.00336870285419484,0.970852912059566,0.0132879711094689,0.0124904139767705
"Austin, TX",2011,828569,33487,0,377.7,355,520.6,34740.3,0,0.0108720995500902,0.963923742742578,0.0149854779607545,0.0102186797465767
"Austin, TX",2012,854656,34148,0,527.4,258.6,587.4,35521.4,0,0.0148473877718784,0.961335983379033,0.0165365103852889,0.00728011846379929
"Beaumont, TX",2000,113647,1527.9,0,0,0,23.1,1551,0,0,0.985106382978723,0.0148936170212766,0
"Beaumont, TX",2001,113440,1524,0,0,0,23.5,1547.5,0,0,0.984814216478191,0.0151857835218094,0
